:ID;authorName:string
6753886;Eleni Mandrali
6753887;Dirk Janssens
6753888;Annabelle McIver
6753889;S. Arun-Kumar
6753890;Matthew Hennessy
6753891;Benedetto Intrigila
6753892;Stefano Varricchio
6753893;Emanuela Fachini
6753894;Angelo Monti
6753895;Margherita Napoli
6753896;Domenico Parente
6753897;Giuseppe Della Penna
6753898;Enrico Tronci
6753899;Marisa Venturini Zilli
6753900;Jan Janousek
6753901;Borivoj Melichar
6753902;Xinxin Liu
6753903;Mark H. Overmars
6753904;Michiel H. M. Smid
6753905;Mark de Berg
6753906;Marc J. van Kreveld
6753907;Michael Brand
6753908;Ralph-Johan Back
6753909;Joakim von Wright
6753910;Alexandre Brandwajn
6753911;Eric Badouel
6753912;Philippe Darondeau
6753913;Angelo Montanari
6753914;Marco Pazzaglia
6753915;Pietro Sala
6753916;Leonidas J. Guibas
6753917;Ralf Hartmut Güting
6753918;Clement H. C. Leung
6753919;Qui Hoon Choo
6753920;Stephan Heilbrunner
6753921;Steffen Hölldobler
6753922;Niklaus Wirth
6753923;Achim D. Brucker
6753924;Burkhart Wolff
6753925;Hermann K.-G. Walter
6753926;Martin Kutrib
6753927;Andreas Malcher
6753928;Matthias Wendlandt
6753929;Bernhard Mescheder
6753930;Antonín Kucera
6753931;Jan Strejcek
6753932;Thomas P. Murtagh
6753933;Adam L. Buchsbaum
6753934;Rajamani Sundar
6753935;Robert Endre Tarjan
6753936;Yuxi Fu
6753937;Norbert Ramsperger
6753938;Kim S. Larsen
6753939;Ikuo Nakata
6753940;Masataka Sassa
6753941;Tien Van Do
6753942;Ram Chakka
6753943;Nam H. Do
6753944;László Pap
6753945;Hsu-Chun Yen
6753946;Vijay K. Vaishnavi
6753947;Hans-Peter Kriegel
6753948;Martin Seysen
6753949;Ramachandran Vaidyanathan
6753950;Carlos R. P. Hartmann
6753951;Pramod K. Varshney
6753952;Ján Gaso
6753953;Martin Nehéz
6753954;Andrzej Duda
6753955;Tadeusz Czachórski
6753956;Zheng-Zhu Li
6753957;Y. S. Tsai
6753958;Jozef Gruska
6753959;Tjalling Gelsema
6753960;Peter J. Denning
6753961;Kevin C. Kahn
6753962;Jacques Leroudier
6753963;Dominique Potier
6753964;Rajan Suri
6753965;Andrea Maggiolo-Schettini
6753966;Davide Sangiorgi
6753967;Christian Choffrut
6753968;Michael Schenke
6753969;Flavio Corradini
6753970;Roberto Gorrieri
6753971;Marco Roccetti
6753972;Anton Nijholt
6753973;Kung-Kiu Lau
6753974;Maria Rita Di Berardini
6753975;Peter R. J. Asveld
6753976;J. V. Tucker
6753977;Zohar Manna
6753978;Amir Pnueli
6753979;Ann E. Kelley Sobel
6753980;Neelam Soundararajan
6753981;Giora Slutzki
6753982;Thomas Klingler
6753983;Frank Drewes
6753984;Johanna Högberg
6753985;Lars Jacobsen
6753986;Jörg H. Siekmann
6753987;Graham Wrightson
6753988;Nissim Francez
6753989;Boris Klebansky
6753990;Chunhua Cao
6753991;Lu Qing
6753992;Di Yang
6753993;Charles N. Fischer
6753994;D. R. Milton
6753995;S. B. Quiring
6753996;Axel van Lamsweerde
6753997;Michel Sintzoff
6753998;Hermann A. Maurer
6753999;Inman P. de Guzmán
6754000;Manuel Ojeda-Aciego
6754001;Agustín Valverde
6754002;John B. Kam
6754003;Jeffrey D. Ullman
6754004;Mikkel Thorup
6754005;José M. Amigó
6754006;Gerth Stølting Brodal
6754007;Erik D. Demaine
6754008;J. Ian Munro
6754009;S. Kiran Kumar
6754010;C. Pandu Rangan
6754011;Mila E. Majster-Cederbaum
6754012;Jinzhao Wu
6754013;Houguang Yue
6754014;Changwook Kim
6754015;A. Michael Berman
6754016;Marvin C. Paull
6754017;Barbara G. Ryder
6754018;Peter Kandzia
6754019;Beverly A. Sanders
6754020;Pedro V. Silva
6754021;K. V. S. Ramarao
6754022;Amr Elmasry
6754023;Michael L. Fredman
6754024;Lorene E. Gupta
6754025;Andrew J. Malton
6754026;Rodney W. Topor
6754027;Juhani Karhumäki
6754028;Thomas Eiter
6754029;Heikki Mannila
6754030;Raúl J. Ramírez
6754031;Frank Wm. Tompa
6754032;Chung-Hao Huang
6754033;Sven Schewe
6754034;Farn Wang
6754035;Erol Gelenbe
6754036;Jacques Lenfant
6754037;Ferucio Laurentiu Tiplea
6754038;Erkki Mäkinen
6754039;Corina Apachite
6754040;Friedrich L. Bauer
6754041;Andrei P. Ershov
6754042;Manfred Paul
6754043;Alan J. Perlis
6754044;Wayne A. Babich
6754045;Mehdi Jazayeri
6754046;Robert H. Sloan
6754047;Ugo A. Buy
6754048;Oded Goldreich 0001
6754049;Liuba Shrira
6754050;Josep Díaz
6754051;Maria J. Serna
6754052;Jacobo Torán
6754053;Lorenzo Bettini
6754054;Ferruccio Damiani
6754055;Ina Schaefer
6754056;T. C. Edwin Cheng
6754057;Qing Ding
6754058;François Baccelli
6754059;Thierry Fleury
6754060;Romain Brenguier
6754061;Jean-François Raskin
6754062;Ocan Sankur
6754063;Adrian Atanasiu
6754064;Charlie Svahnberg
6754065;Klaus H. Hinrichs
6754066;Jürg Nievergelt
6754067;Peter Schorn
6754068;Gerald Lüttgen
6754069;Sascha Fendrich
6754070;Ismo Hakala
6754071;Juha Kortelainen
6754072;Robert Meersman
6754073;Amit Chakrabarti
6754074;Venkatesan Guruswami
6754075;Andrew Wirth
6754076;Anthony Wirth
6754077;N. P. Chapman
6754078;Hans Jürgen Schneider
6754079;Hartmut Ehrig
6754080;Wenceslas Fernandez de la Vega
6754081;Vangelis Th. Paschos
6754082;Andreas Stafylopatis
6754083;Ke Gu
6754084;Weijia Jia
6754085;Guojun Wang
6754086;Sheng Wen
6754087;Kim Marriott
6754088;Thomas Lehmann 0004
6754089;Jacques Loeckx
6754090;M. R. Garey
6754091;Ronald L. Graham
6754092;G. Marque-Pucheu
6754093;Maurice Nivat
6754094;Marta Cialdea Mayer
6754095;Andrea Orlandini
6754096;Alessandro Umbrico
6754097;Reidar Conradi
6754098;Xiaoning Peng
6754099;Zhijun Xiao
6754100;Mahadevan Ganapathi
6754101;Aviezri S. Fraenkel
6754102;Moshe Mor
6754103;Yehoshua Perl
6754104;Johannes Röhrich
6754105;Uwe Kastens
6754106;Arnaud Carayol
6754107;Antoine Meyer
6754108;Luc Boasson
6754109;Oscar H. Ibarra
6754110;Chul E. Kim
6754111;William E. Weihl
6754112;Francesco Ranzato
6754113;Vesa Halava
6754114;Mika Hirvensalo
6754115;Hans-Anton Rollik
6754116;John Almond
6754117;Alexander Grigoriev
6754118;Gerhard J. Woeginger
6754119;Donald Sannella
6754120;Andrzej Tarlecki
6754121;Henning Bordihn
6754122;Markus Holzer 0001
6754123;Paul M. Zislis
6754124;Gary Levin
6754125;David Gries
6754126;Tero Harju
6754127;Jan Ramon
6754128;Maurice Bruynooghe
6754129;Parosh Aziz Abdulla
6754130;Lukás Holík
6754131;Bengt Jonsson
6754132;Ondrej Lengál
6754133;Cong Quy Trinh
6754134;Tomás Vojnar
6754135;Michel Latteux
6754136;B. Leguy
6754137;B. Ratoandromanana
6754138;Elena Losseva
6754139;Geoff Wozniak
6754140;Reinhold Franck
6754141;Milan Ceska Jr.
6754142;Frits Dannenberg
6754143;Nicola Paoletti
6754144;Marta Kwiatkowska
6754145;Lubos Brim
6754146;Md. Enamul Kabir
6754147;Hua Wang 0002
6754148;Elisa Bertino
6754149;Thomas Giammo
6754150;Jean-François Condotta
6754151;Souhila Kaci
6754152;Yakoub Salhi
6754153;Elizabeth Scott
6754154;Adrian Johnstone
6754155;Tomás Brázdil
6754156;Oldrich Strazovský
6754157;Gigliola Vaglini
6754158;Joachim Klein 0001
6754159;Christel Baier
6754160;Sascha Klüppelholz
6754161;Luca Padovani
6754162;Christoph Seidl
6754163;Edward G. Belaga
6754164;John P. Kearns
6754165;Mary Lou Soffa
6754166;Hsien-Kuei Hwang
6754167;Jean-Marie Nicolas 0001
6754168;Juan Ignacio Perna
6754169;Jim Woodcock
6754170;Augusto Sampaio
6754171;Juliano Iyoda
6754172;Hans Langmaack
6754173;Róbert Szelepcsényi
6754174;G. Bauer
6754175;Dietmar Berwanger
6754176;Anup Basil Mathew
6754177;Marie van den Bogaard
6754178;Lucian Ilie
6754179;Hisao Kameda
6754180;Dirk Hauschildt
6754181;Matthias Jantzen
6754182;Dean Jacobs
6754183;Jan van Leeuwen
6754184;Thomas Ottmann
6754185;Michael Schrapp
6754186;Martin Wirsing
6754187;Alan J. Demers
6754188;C. Keleman
6754189;Bernd Reusch
6754190;Beate Commentz-Walter
6754191;Lawrence T. Kou
6754192;Alexander Meduna
6754193;Henning Fernau
6754194;M. Kempf
6754195;Rudolf Bayer
6754196;Ulrich Güntzer
6754197;Eljas Soisalon-Soininen
6754198;Yennun Huang
6754199;Pankaj Jalote
6754200;Egon Börger
6754201;Klaus-Dieter Schewe
6754202;Yiwei Jiang
6754203;Yong He
6754204;Iain A. Stewart
6754205;Klaus Küspert
6754206;Foto N. Afrati
6754207;Rada Chirkova
6754208;Manolis Gergatsoulis
6754209;Vassia Pavlaki
6754210;Didier Y. Hinz
6754211;Jesús N. Ravelo
6754212;Javier Esparza
6754213;Shmuel Sagiv
6754214;Michael Rodeh
6754215;Jean-François Perrot
6754216;Gaston H. Gonnet
6754217;Lawrence D. Rogers
6754218;J. Alan George
6754219;Antti Valmari
6754220;Arturo Carpi
6754221;Flavio D'Alessandro
6754222;Gadi Taubenfeld
6754223;Shlomo Moran
6754224;Dominic Duggan
6754225;Hans-Dieter Ehrich
6754226;Carlos Caleiro
6754227;Mike Paterson
6754228;Ingo Wegener
6754229;Martin Zimmermann 0002
6754230;Jürgen Dingel
6754231;Laurent Alonso
6754232;René Schott
6754233;Petr Zemek
6754234;Neal A. Harman
6754235;Terrence W. Pratt
6754236;Stéphane Coulondre
6754237;Toshiro Araki
6754238;Nobuki Tokura
6754239;Sibsankar Haldar
6754240;K. Vidyasankar
6754241;Donna J. Brown
6754242;Brenda S. Baker
6754243;Howard P. Katseff
6754244;Nasreddine Tabet-Aouel
6754245;Józef Winkowski
6754246;Simon J. Gay
6754247;Malcolm Hole
6754248;Gerardo Costa
6754249;Colin Stirling
6754250;Madhu Mutyam
6754251;Kamala Krithivasan
6754252;Werner Pohlmann
6754253;Aart Middeldorp
6754254;Hitoshi Ohsaki
6754255;Laura Bozzelli
6754256;Mojmír Kretínský
6754257;Vojtech Rehák
6754258;J. W. Cohen
6754259;Richard N. Taylor
6754260;William E. Wright
6754261;Catherine Mongenet
6754262;Philippe Clauss
6754263;Guy-René Perrin
6754264;Stavros Aronis
6754265;Mohamed Faouzi Atig
6754266;Carl Leonardsson
6754267;Konstantinos Sagonas
6754268;Lefteris M. Kirousis
6754269;Andreas G. Veneris
6754270;Tarja Systä
6754271;J. W. de Bakker
6754272;John-Jules Ch. Meyer
6754273;Levent V. Orman
6754274;Fred B. Schneider
6754275;Richard Conway 0003
6754276;Dale Skeen
6754277;Leo Marcus
6754278;Telis Menas
6754279;Thomas J. Marlowe
6754280;Gennadi Falin
6754281;M. Martìn Dìaz
6754282;Jesus R. Artalejo
6754283;Donald E. Knuth
6754284;Peter Schlichtiger
6754285;Shyr-Shen Yu
6754286;S. O. Anderson
6754287;Roland Carl Backhouse
6754288;Leah Epstein
6754289;Tamir Tassa
6754290;Peter G. Harrison
6754291;Vincent D. Blondel
6754292;Jarkko Kari
6754293;Thomas J. Ostrand
6754294;Elaine J. Weyuker
6754295;Mark Reynolds
6754296;Ivana Cerná
6754297;Jon Mauney
6754298;Martin Berger
6754299;Kohei Honda
6754300;Nobuko Yoshida
6754301;Pascal Caron
6754302;Jean-Marc Champarnaud
6754303;Ludovic Mignot
6754304;Hosam M. Mahmoud
6754305;Luca Aceto
6754306;David de Frutos-Escrig
6754307;Roderick Bloem
6754308;Karin Greimel
6754309;Thomas A. Henzinger
6754310;Georg Hofferek
6754311;Barbara Jobstmann
6754312;Bettina Könighofer
6754313;Robert Könighofer
6754314;Steven Delvaux
6754315;Leon Horsten
6754316;Paolo Tiberio
6754317;J. C. A. Boekhorst
6754318;Peter Pepper
6754319;Helmuth Partsch
6754320;Walter Dosch
6754321;Riccardo Torlone
6754322;Masahiro Miyakawa
6754323;Jörg-Rüdiger Sack
6754324;Thomas Strothotte
6754325;Balakrishnan Krishnamurthy
6754326;Leslie Lamport
6754327;Flaviu Cristian
6754328;Mario Schkolnick
6754329;Otto Nurmi
6754330;Markku Tamminen
6754331;W. K. Luk
6754332;Paolo Sipala
6754333;Lin S. Woo
6754334;C. K. Wong
6754335;Amir M. Ben-Amram
6754336;Roberto Barbuti
6754337;Luca Tesei
6754338;Jean-Michel Autebert
6754339;Joffroy Beauquier
6754340;Edward A. Bender
6754341;Cheryl E. Praeger
6754342;Nicholas C. Wormald
6754343;Edward G. Coffman Jr.
6754344;Dariusz Dereniowski
6754345;Wieslaw Kubiak
6754346;José Luiz Fiadeiro
6754347;Amílcar Sernadas
6754348;John E. Shore
6754349;Peter Klein
6754350;Friedhelm Meyer auf der Heide
6754351;Michael G. Lamoureux
6754352;Bradford G. Nickerson
6754353;Alistair Moffat
6754354;Ola Petersson
6754355;Ashok K. Agrawala
6754356;Satish K. Tripathi
6754357;Lutz Eichner
6754358;Peter Deussen
6754359;Meurig Beynon
6754360;Daniela Musto
6754361;Jürgen Avenhaus
6754362;Klaus Madlener
6754363;M. W. Du
6754364;S. C. Chang
6754365;Ichiro Suzuki
6754366;Tadao Kasami
6754367;Desh Ranjan
6754368;Enrico Pontelli
6754369;Gopal Gupta
6754370;Alberto Molinari
6754371;Aniello Murano
6754372;Giuseppe Perelli
6754373;Adriano Peron
6754374;Egidio Astesiano
6754375;Gianna Reggio
6754376;Anthony E. Krzesinski
6754377;Peter Teunissen
6754378;Rza Bashirov
6754379;Fabrice Kordon
6754380;Hüseyin Lort
6754381;Aris M. Ouksel
6754382;Otto Mayer
6754383;Robert E. Shostak
6754384;H. C. M. Kleijn
6754385;Jetty Kleijn
6754386;Marta Pietkiewicz-Koutny
6754387;Anthony J. Bonner
6754388;Giansalvatore Mecca
6754389;Karl Unterauer
6754390;Manfred Broy
6754391;Juris Hartmanis
6754392;Johannes Reichardt
6754393;Danny Dubé
6754394;Marc Feeley
6754395;Pierre Ganty
6754396;Jérôme Leroux
6754397;Rupak Majumdar
6754398;Dongfeng Chen
6754399;Fereidoon Sadri
6754400;Tiia J. Salo
6754401;Xiaolei Qian
6754402;Hessam Khoshnevisan
6754403;Kurt Mehlhorn
6754404;Bennett L. Fox
6754405;Bogdan Aman
6754406;Gabriel Ciobanu
6754407;Werner Kuich
6754408;Pratul Dublish
6754409;Yehoshua Sagiv
6754410;Alessandro Cimatti
6754411;Andrea Micheli
6754412;Roberto Posenato
6754413;Marco Roveri
6754414;James D. Currie
6754415;Terry I. Visentin
6754416;Salvatore La Torre
6754417;Susan Horwitz
6754418;Thomas W. Reps
6754419;Cristina Tîrnauca
6754420;Alexandru Mateescu
6754421;A. J. Kfoury
6754422;Pawel Urzyczyn
6754423;Sheldon Shen
6754424;Aivars Lorencs
6754425;Detlef Wotschke
6754426;Gerd Kaufholz
6754427;Rance Cleaveland
6754428;John H. Reif
6754429;Scott A. Smolka
6754430;Paolo Zuliani
6754431;Henk Alblas
6754432;Achour Mostéfaoui
6754433;Michel Raynal
6754434;Wuxu Peng
6754435;S. Purushothaman
6754436;Ladislav Vagner
6754437;Krzysztof R. Apt
6754438;Petr A. Golovach
6754439;Bernard Lidický
6754440;Barnaby Martin
6754441;Daniël Paulusma
6754442;Piotr Rudnicki
6754443;Lynn Robert Carter
6754444;Tsutomu Kamimura
6754445;Zdenek Sawa
6754446;Petr Jancar
6754447;Luc Duponcheel
6754448;M. Duponcheel
6754449;Erica Moodie
6754450;Vernon Rego
6754451;Tomasz Kowaltowski
6754452;Xavier Nicollin
6754453;Joseph Sifakis
6754454;Sergio Yovine
6754455;Vladimir G. Deineko
6754456;Rüdiger Rudolf
6754457;Jürgen Dassow
6754458;Gabriel Thierrin
6754459;Carlo Mereghetti
6754460;Beatrice Palano
6754461;Srecko Brlek
6754462;Elisa Pergola
6754463;Olivier Roques
6754464;Wen-Jing Hsu
6754465;Carl V. Page
6754466;Aristid Lindenmayer
6754467;Shlomi Dolev
6754468;Elad Schiller
6754469;Artem Polyvyanyy
6754470;Matthias Weidlich
6754471;Mathias Weske
6754472;Michael Domaratzki
6754473;Carlo Combi
6754474;Armin Kühnemann
6754475;Ole Eriksen
6754476;Jørgen Staunstrup
6754477;Marcus Größer
6754478;D. T. Lee
6754479;Jay Earley
6754480;Athanasios K. Tsakalidis
6754481;Jainendra K. Navlakha
6754482;William F. Ogden
6754483;Sadegh Esmaeil Zadeh Soudjani
6754484;Alessandro Abate
6754485;Peter J. L. Wallis
6754486;Betty Salzberg
6754487;Ali Mili
6754488;Jules Desharnais
6754489;Jean-Raymond Gagné
6754490;Hing Leung
6754491;Jen-Tse Wang
6754492;L. J. Steggles
6754493;Stefan Hertel
6754494;Martti Mäntylä
6754495;Joseph A. Bannister
6754496;Kishor S. Trivedi
6754497;Ulf R. Schmerl
6754498;Gunnar Forst
6754499;Anders Thorup
6754500;Marek J. Lao
6754501;Jacques Cohen
6754502;Martin S. Roth
6754503;Chung-Yee Lee
6754504;Surya Danusaputro Liman
6754505;Stefan Kahrs
6754506;Wolfgang J. Paul
6754507;Ernst-Jürgen Prauß
6754508;Rüdiger Reischuk
6754509;Jean-Pierre Banâtre
6754510;Patrice Frison
6754511;Patrice Quinton
6754512;Wilf R. LaLonde
6754513;Paolo Baldan
6754514;Fabio Gadducci
6754515;Manuel Sorge
6754516;Hannes Moser
6754517;Rolf Niedermeier
6754518;Mathias Weller
6754519;Nike van Vugt
6754520;Hirokazu Nishimura
6754521;Dimitrios Kouzapas
6754522;Jorge A. Pérez
6754523;Paulo Tabuada
6754524;James E. Donahue
6754525;Wolfgang K. Giloi
6754526;José L. Encarnação
6754527;S. Savitt
6754528;Anthony J. Fisher
6754529;Wladimir Fridman
6754530;Bernd Puchala
6754531;Louxin Zhang
6754532;Suoping Li
6754533;Yong Qiang Zhou
6754534;Yong Zhou
6754535;Andreas Weber
6754536;Alexander Tuzhilin
6754537;Patricia Bouyer
6754538;Nicolas Markey
6754539;Mickael Randour
6754540;Simon Laursen
6754541;Dirk Nowotka
6754542;Andrea Marin
6754543;Sabina Rossi
6754544;Michele Boreale
6754545;Carlos Martín-Vide
6754546;Volker Strassen
6754547;Frank K. Hwang
6754548;Shen Lin 0005
6754549;Gunnar Stålmarck
6754550;Rachele Fuzzati
6754551;Massimo Merro
6754552;Uwe Nestmann
6754553;J. Eve
6754554;Reino Kurki-Suonio
6754555;Alain J. Martin
6754556;Colin Adams
6754557;Jean Vicard
6754558;Ronald V. Book
6754559;Ashok K. Chandra
6754560;Peter J. Downey
6754561;Peter M. Winkler
6754562;Amrinder Arora
6754563;Fanchun Jin
6754564;Gokhan Sahin
6754565;Hosam Mahmoud
6754566;Hyeong-Ah Choi
6754567;Tamás Gergely
6754568;László Úry
6754569;Yongqiang Zhou
6754570;Duo Peng
6754571;Zufang Dou
6754572;Paul E. S. Dunne
6754573;Sam M. Kim
6754574;Elvira Locuratolo
6754575;Fausto Rabitti
6754576;Jakob Gonczarowski
6754577;Yoshiki Kinoshita
6754578;John Power
6754579;P. Bouchet
6754580;Frank Tip
6754581;Peter F. Sweeney
6754582;Maurice Clint
6754583;Édouard Bonnet
6754584;Jan Van den Bussche
6754585;Luca Cabibbo
6754586;Karel Culík
6754587;Michael A. Arbib
6754588;Zvi M. Kedem
6754589;Abraham Silberschatz
6754590;Robert B. K. Dewar
6754591;Susan M. Merritt
6754592;Micha Sharir
6754593;Dominique Perrin
6754594;J. P. Crestin
6754595;Philippe Nain
6754596;Carl Langenhop
6754597;Mark Levene
6754598;George Loizou
6754599;Esko Ukkonen
6754600;Ingo Schmitt
6754601;Gunter Saake
6754602;Mirko Krivánek
6754603;Jaroslav Morávek
6754604;Jifeng He
6754605;Klaus Ecker
6754606;Helmut Ratschek
6754607;Shigeru Igarashi
6754608;Ralph L. London
6754609;David C. Luckham
6754610;Paul Helman
6754611;Béatrice Bérard
6754612;Claudine Picaronny
6754613;Onno J. Boxma
6754614;Alan G. Konheim
6754615;Carlton J. Maxson
6754616;Paul Walton Purdom Jr.
6754617;Cynthia A. Brown
6754618;C. Samuel Hsieh
6754619;Brian Johnson
6754620;Stefano Bilotta
6754621;Elisabetta Grazzini
6754622;Renzo Pinzani
6754623;Berthold Hoffmann
6754624;Bernhard Möller
6754625;Kenichi Morita
6754626;Noritaka Nishihara
6754627;Yasunori Yamamoto
6754628;Zhiguo Zhang
6754629;Patrick E. O'Neil
6754630;Fatma Mili
6754631;Edsger W. Dijkstra
6754632;Kazuo Iwama
6754633;Giuliano Pacini
6754634;Maria Simi
6754635;Franco Turini
6754636;Gerda Schott
6754637;Vijay K. Garg
6754638;Alexander I. Tomlinson
6754639;Guy Fayolle
6754640;D. Bastin
6754641;R. M. Wharton
6754642;Klaus Indermark
6754643;Thomas Noll
6754644;Mohammad Reza Mousavi
6754645;Ehsan Khamespanah
6754646;César Sánchez
6754647;Kristen Brent Venable
6754648;Esteban Zimányi
6754649;Maurice Schlumberger
6754650;Jean Vuillemin
