:END_ID;:START_ID;volumeNo:int;year:int
5135;9046538;3;2009
13105;9046536;2;1994
4320;9046524;3;1995
19044;9046544;1;2012
14103;9046527;4;2002
13644;9046535;1;2016
19761;9046529;3;2018
12432;9046536;2;1997
4005;9046534;4;1986
1401;9046533;2;1977
13226;9046538;1;1999
8662;9046526;1;2015
19371;9046529;3;2017
11112;9046536;1;2010
14492;9046525;3;2008
9299;9046543;3;2013
2043;9046533;3;2015
5601;9046531;4;2016
4982;9046524;5;2003
17366;9046530;1;2018
897;9046533;2;2017
1302;9046540;1;2006
10234;9046530;2;2006
11114;9046543;4;2004
11020;9046537;2;2008
1406;9046524;4;2005
6633;9046537;3;2018
14418;9046534;2;2014
7329;9046537;2;2017
2369;9046540;3;2005
588;9046543;2;1982
9026;9046531;4;2016
9740;9046535;2;2006
4878;9046532;3;2019
5570;9046533;4;2018
18114;9046541;1;2014
4135;9046530;4;1997
13169;9046525;5;2017
8334;9046542;2;2017
13195;9046544;2;2007
11516;9046539;1;2010
12024;9046531;3;2005
13266;9046536;1;2009
11628;9046526;5;2017
11603;9046538;4;1997
16753;9046533;2;2014
9736;9046529;4;2000
18135;9046531;5;2019
6938;9046540;3;2018
10799;9046526;1;2004
15318;9046541;3;2018
14227;9046544;3;2015
13609;9046543;4;1998
10714;9046532;3;2002
19468;9046540;3;2017
625;9046539;4;1987
18497;9046526;4;2002
15696;9046537;4;1993
7420;9046542;2;1999
15130;9046540;1;2016
15539;9046527;2;2014
4551;9046531;4;2019
14224;9046532;5;2011
11862;9046529;5;1999
15836;9046531;4;2013
19235;9046538;2;2015
13427;9046537;2;2016
9321;9046544;3;2010
965;9046538;5;1996
15495;9046528;4;2013
15739;9046531;1;2012
10646;9046543;5;2005
3682;9046539;2;2001
18856;9046524;2;2007
15500;9046528;2;2016
12301;9046542;4;2003
4148;9046530;1;2019
6366;9046526;4;2019
16930;9046543;5;2012
9404;9046536;3;2014
7966;9046525;2;2017
1192;9046537;1;1997
18690;9046528;2;2014
10339;9046524;2;2010
1557;9046544;4;2017
3038;9046544;5;2012
8611;9046532;5;2015
13688;9046529;5;2016
14441;9046539;2;2010
10335;9046536;1;2007
963;9046535;5;1980
436;9046542;2;2013
9838;9046531;2;2008
10341;9046528;5;2015
9384;9046530;4;2017
18257;9046535;5;2011
15597;9046529;5;2017
6254;9046537;1;2017
17572;9046539;2;2018
8421;9046530;2;2016
1584;9046536;3;2012
7505;9046530;4;1995
7206;9046539;3;2005
8149;9046537;4;1988
4229;9046543;4;2017
19315;9046544;1;2005
5661;9046534;1;2007
14586;9046530;3;1996
12435;9046535;4;2011
11432;9046528;2;2009
18914;9046527;3;2012
8439;9046539;4;2016
15132;9046524;3;1991
9785;9046533;1;2015
17619;9046533;3;2012
9950;9046540;5;2002
706;9046542;1;2001
11053;9046539;5;2014
14439;9046537;4;1999
3925;9046544;5;2004
18431;9046544;2;2013
6634;9046526;3;2018
18473;9046530;3;2011
13502;9046539;3;2012
9878;9046527;3;2008
4412;9046533;2;2018
8730;9046533;5;2014
13470;9046528;1;2007
12944;9046524;1;2006
1841;9046542;1;2014
8810;9046536;2;2010
12745;9046534;1;2002
667;9046540;5;1973
4762;9046543;3;2012
3220;9046535;2;2014
865;9046535;4;1981
9575;9046532;5;2018
2649;9046544;1;2018
2562;9046535;5;2007
4325;9046537;2;2016
12185;9046527;1;2002
9476;9046526;5;2009
12402;9046540;2;2010
8858;9046538;3;2014
16461;9046540;3;2013
4290;9046526;3;2013
1634;9046538;1;2008
14760;9046530;5;2011
15291;9046544;2;2011
12281;9046543;1;2015
15250;9046527;1;1991
17882;9046540;5;2009
17968;9046527;3;2007
15563;9046530;2;2016
6249;9046524;3;2010
3333;9046529;3;2017
7649;9046525;5;2019
3518;9046530;5;2003
16390;9046532;3;2014
2776;9046532;1;2006
7402;9046524;1;2007
6298;9046534;1;2007
16778;9046535;3;2017
19519;9046532;2;2016
14869;9046529;2;1996
1084;9046542;2;1977
11530;9046533;4;1997
6469;9046526;4;2009
7877;9046528;1;2018
12224;9046526;2;2017
6354;9046530;2;2013
19457;9046526;5;2015
4768;9046537;1;2001
8058;9046530;5;2006
17148;9046537;2;2016
6996;9046534;4;2019
18739;9046539;1;2006
635;9046529;5;1991
6576;9046543;1;2005
4961;9046528;1;2001
1744;9046525;5;2016
1205;9046524;5;2016
3375;9046524;2;2013
10008;9046532;2;2011
3107;9046527;5;2011
9951;9046524;2;2018
17499;9046534;5;2017
18136;9046533;5;2011
15142;9046541;3;2001
11041;9046530;5;2014
2354;9046533;4;2017
8175;9046537;4;1986
9703;9046524;2;2016
12412;9046531;1;2004
15276;9046539;1;2016
1196;9046528;2;1987
9267;9046539;1;1996
7652;9046537;2;2006
15783;9046528;1;2013
6377;9046525;5;2018
13395;9046524;3;1999
19504;9046526;5;2017
743;9046538;2;2007
9547;9046540;1;2017
3675;9046532;3;2004
1165;9046533;5;2006
2244;9046541;4;2015
7888;9046537;1;2004
11411;9046541;3;1994
10530;9046537;2;2008
15272;9046540;4;2016
13549;9046524;5;2004
7783;9046526;5;2005
16017;9046539;1;2016
9045;9046536;5;2018
15683;9046536;4;2018
17547;9046533;4;2016
10407;9046533;3;2001
17430;9046527;1;2018
616;9046526;5;1982
14778;9046542;4;1999
15288;9046540;1;2010
7630;9046544;2;2018
1924;9046535;5;2009
543;9046543;3;1992
4383;9046531;5;1985
16514;9046529;1;2013
1174;9046525;5;2009
4174;9046536;3;2011
16053;9046537;2;2001
2161;9046543;3;2010
7708;9046541;2;2000
19061;9046541;5;2019
12521;9046527;2;2010
10930;9046534;4;2003
10342;9046544;3;2003
2282;9046542;2;2009
17604;9046524;2;2015
19623;9046540;2;2017
19448;9046535;4;1999
4382;9046530;1;1994
17729;9046543;1;2012
14517;9046537;1;2009
6305;9046528;2;2012
3457;9046544;2;2012
15647;9046534;5;2017
4576;9046526;3;2002
3281;9046532;1;2003
1346;9046533;1;1984
8037;9046525;2;1998
9980;9046534;2;2001
17406;9046531;4;2019
9564;9046528;2;2001
1296;9046539;2;1999
5790;9046524;4;2019
19326;9046539;2;2013
10273;9046526;5;2000
7599;9046535;5;2016
6838;9046538;4;2014
6359;9046525;2;2018
3844;9046542;5;2003
11043;9046528;2;2005
15022;9046535;1;2019
10003;9046534;4;2019
6530;9046538;5;2010
9891;9046525;3;2004
1823;9046530;2;2018
7944;9046525;4;2015
19847;9046536;4;2015
14468;9046533;3;1994
16922;9046525;3;2018
12793;9046524;1;1996
11035;9046539;1;2017
19327;9046526;5;2013
8183;9046524;1;2002
7258;9046540;4;2015
8849;9046526;2;2014
5889;9046527;4;2016
6090;9046534;5;2005
4085;9046534;4;2015
16610;9046524;1;2018
17595;9046536;4;2016
18599;9046528;5;2014
8864;9046542;5;2017
17035;9046535;3;2016
19707;9046525;3;1999
5165;9046537;2;2013
16850;9046524;4;2001
2280;9046525;4;2017
17173;9046531;3;2003
1317;9046544;5;2012
1794;9046540;1;2012
15430;9046531;4;2015
12485;9046527;4;2013
16250;9046544;1;1996
5283;9046540;4;2019
18277;9046524;1;2013
7610;9046538;2;2018
5335;9046534;5;2017
9256;9046533;5;2007
18042;9046530;3;2017
18529;9046528;1;2012
7537;9046532;3;1996
206;9046533;4;2006
17324;9046526;4;2012
10965;9046535;3;2006
1996;9046542;1;2006
17641;9046532;3;2018
8336;9046528;1;2012
4668;9046536;5;2018
5625;9046544;4;2016
6071;9046528;5;2015
8863;9046539;4;2016
19436;9046541;3;1999
6818;9046534;2;1999
809;9046527;4;2006
11891;9046531;5;2003
16993;9046528;4;2006
4639;9046526;2;1990
17508;9046532;2;2008
10919;9046543;1;1997
11362;9046524;2;2015
19042;9046543;3;2013
18608;9046533;1;2014
3798;9046526;2;2008
18740;9046527;3;1994
2678;9046528;2;2017
18212;9046540;1;2015
515;9046535;2;1982
6532;9046531;3;1986
7215;9046525;2;2003
16716;9046540;1;2016
13404;9046535;3;2013
2766;9046531;3;2013
7627;9046540;5;2010
1166;9046528;3;1997
17917;9046538;1;2015
9434;9046527;3;2010
15019;9046539;2;2018
7916;9046529;2;1990
2232;9046524;4;2018
1218;9046534;3;1983
14593;9046543;4;1992
14523;9046524;5;2016
17314;9046537;4;2018
12763;9046531;2;2012
10238;9046530;5;2013
4097;9046536;5;1999
17796;9046536;1;2013
2308;9046542;4;2011
4155;9046535;2;2003
16394;9046530;2;1996
15543;9046533;4;2012
17145;9046535;5;2017
18016;9046534;1;2012
6733;9046534;4;2016
10042;9046542;1;2008
3528;9046526;2;2013
12893;9046528;4;2010
2985;9046537;1;2016
18893;9046533;1;2007
18262;9046542;5;2016
17680;9046527;3;2012
4124;9046543;1;1991
16975;9046541;1;2011
7539;9046542;1;2004
11774;9046533;4;2009
6209;9046529;2;2002
15919;9046529;5;2019
4620;9046534;4;2017
15509;9046537;5;2015
7858;9046543;4;2018
5488;9046535;3;1989
10215;9046544;3;2016
11227;9046524;2;2003
13839;9046542;3;1998
15875;9046539;5;2014
14136;9046534;1;2015
5740;9046531;5;1989
11663;9046530;5;1998
8201;9046531;5;2003
3466;9046524;4;2008
14541;9046529;5;2000
12068;9046540;3;1994
9306;9046537;3;2010
17455;9046526;2;2013
4094;9046543;1;2018
8535;9046534;5;2017
1433;9046535;3;2003
1594;9046538;4;2018
11294;9046532;3;1994
9741;9046539;3;2007
17642;9046537;5;1988
5926;9046536;1;2010
19075;9046525;4;2009
5383;9046537;4;2019
19609;9046542;4;2007
4294;9046535;4;2014
19416;9046531;2;2000
19151;9046528;5;2010
14291;9046536;2;2011
15309;9046527;2;2018
3481;9046540;1;2006
1814;9046527;4;2013
4336;9046534;3;2014
11090;9046529;3;2005
1003;9046540;4;2006
3937;9046542;5;2018
5808;9046534;3;2014
15544;9046528;4;2012
1739;9046531;4;2017
7151;9046543;3;1992
10785;9046532;5;2006
669;9046525;5;1981
1909;9046526;2;2018
9415;9046538;2;2004
2412;9046533;5;2008
18910;9046527;2;2018
11220;9046540;1;2002
7927;9046541;2;2017
16335;9046536;4;2016
2100;9046535;2;2007
5213;9046529;1;2018
12102;9046533;1;2003
11464;9046539;1;2014
8874;9046536;4;2014
19050;9046544;3;2007
18706;9046531;4;2016
10416;9046524;1;2001
16907;9046538;2;2010
17357;9046526;5;2005
11636;9046544;4;1994
14902;9046526;2;2007
10796;9046535;1;2007
10675;9046529;3;2011
4300;9046544;2;2009
13487;9046543;4;2004
12152;9046544;5;2002
2214;9046535;4;2011
6313;9046532;2;2015
2106;9046544;1;2008
10904;9046539;1;2001
5569;9046536;2;2019
9255;9046541;2;2015
9672;9046531;2;2003
9802;9046525;1;2015
13853;9046540;4;2015
13129;9046532;3;1997
14890;9046539;2;1996
4716;9046537;1;2018
2288;9046542;5;2015
2337;9046543;5;2009
16766;9046529;3;1991
16234;9046538;5;2015
10048;9046541;2;2001
2365;9046530;5;2014
4782;9046528;3;1992
17617;9046541;2;2017
8579;9046535;5;2007
17537;9046535;3;2004
10140;9046534;2;2002
19106;9046532;5;2014
13994;9046525;1;2008
3261;9046543;3;2010
16854;9046532;2;2018
18037;9046540;4;2016
18612;9046531;3;2007
6498;9046537;3;2018
1226;9046526;2;1980
17615;9046538;1;2018
11537;9046533;5;1998
9419;9046540;4;2008
16311;9046535;3;2017
531;9046538;2;1980
8741;9046536;1;2017
17644;9046540;3;2008
1998;9046526;5;2005
15502;9046528;4;1988
16456;9046535;1;2008
6345;9046536;4;1998
19307;9046537;1;2013
11540;9046533;2;2000
6416;9046536;2;2018
3133;9046536;2;2012
11369;9046532;1;1996
8186;9046533;1;2016
17341;9046536;3;2015
755;9046527;1;2014
15775;9046535;1;2010
3196;9046543;4;2011
11735;9046528;2;2007
10924;9046539;2;2013
7263;9046537;1;2016
1494;9046534;1;1979
18991;9046538;1;2012
1509;9046533;3;2012
15557;9046529;2;1996
7707;9046526;2;1992
16274;9046534;1;2015
5590;9046527;2;1990
3047;9046532;2;2004
19;9046537;1;1987
14337;9046542;2;2005
2285;9046535;3;2011
19506;9046542;1;2017
3688;9046541;2;2010
13719;9046539;5;1994
5243;9046526;5;2018
7734;9046529;1;2000
4248;9046537;4;2003
19228;9046530;3;2010
10859;9046536;3;2001
986;9046538;3;1978
17016;9046532;3;1992
10506;9046542;3;2000
5090;9046541;1;2013
1678;9046540;4;2014
4399;9046527;3;2016
8892;9046524;4;2018
18148;9046543;4;2019
14963;9046526;5;2013
19322;9046536;5;2008
18547;9046532;3;2014
937;9046528;4;2010
13515;9046530;4;1995
13873;9046524;1;2019
13790;9046533;1;1995
14638;9046531;4;2007
13126;9046541;3;2010
9880;9046531;2;2011
6984;9046529;3;1999
13726;9046537;5;2017
8269;9046529;1;2006
8079;9046539;1;2000
3230;9046542;1;2008
6803;9046524;4;2016
17744;9046531;3;2003
5049;9046540;5;2014
12534;9046527;3;2015
13297;9046537;2;1991
16249;9046537;4;1993
5860;9046537;3;2016
12307;9046524;1;2007
12731;9046532;1;2011
10667;9046527;4;2010
6734;9046534;4;2018
7466;9046532;1;2010
10890;9046529;1;2017
12560;9046528;2;2005
10939;9046544;5;2013
3905;9046540;3;2016
17777;9046536;4;2018
13889;9046541;4;2006
18543;9046536;3;2016
1954;9046540;5;2009
19215;9046531;5;2016
12317;9046529;2;2018
7525;9046535;4;2010
3519;9046527;2;2009
10717;9046525;3;2002
10920;9046540;4;2004
9727;9046530;1;2006
4103;9046528;4;2019
6662;9046543;3;2017
3441;9046531;5;2008
15555;9046536;2;2019
15301;9046539;2;2017
17691;9046528;3;2017
11128;9046526;3;2010
6483;9046524;4;2016
18989;9046532;3;2007
11939;9046530;5;2005
6138;9046526;2;2018
18203;9046528;5;2014
3098;9046528;1;2015
14402;9046524;2;2014
17538;9046532;3;2013
4142;9046527;3;2018
4364;9046530;5;2012
1147;9046529;2;2016
11281;9046529;1;2012
4561;9046528;1;2012
6989;9046542;3;2019
584;9046532;5;1981
15892;9046537;2;2016
5306;9046526;2;1996
10467;9046533;4;2010
16498;9046537;5;2015
4584;9046526;3;2014
8539;9046538;2;2016
17839;9046528;3;2007
10622;9046544;1;2005
4499;9046535;1;2018
1853;9046527;4;2006
472;9046531;4;1988
9015;9046533;4;2013
8608;9046530;1;2011
162;9046537;3;2007
9479;9046535;1;2006
1380;9046529;2;1972
5102;9046524;4;1990
8082;9046539;5;2017
16670;9046542;5;2018
11673;9046540;2;2018
8800;9046544;1;2018
4374;9046528;4;2005
13555;9046536;4;2016
15859;9046525;2;2007
12961;9046541;4;1994
8329;9046537;4;2013
2266;9046541;3;2014
17017;9046525;5;1989
1049;9046538;3;1977
3149;9046540;5;2004
702;9046526;1;1989
10456;9046539;3;2009
1142;9046524;3;1985
3325;9046527;3;2008
19013;9046543;5;2015
11878;9046532;2;2013
9396;9046529;2;2011
7729;9046540;3;1992
14308;9046527;1;2002
325;9046527;4;1999
726;9046530;1;1977
6578;9046529;5;2001
4473;9046534;2;2009
6684;9046532;2;2018
3789;9046531;1;2004
11284;9046524;5;2013
3433;9046536;5;2012
19660;9046543;4;2008
18310;9046536;3;2015
15614;9046537;3;2017
19083;9046527;1;2006
16832;9046534;5;2017
8756;9046531;5;2017
585;9046542;2;1982
8802;9046540;1;2017
9866;9046538;4;2016
4785;9046532;1;2017
4628;9046525;2;2014
6083;9046543;4;2018
12457;9046537;2;2016
1497;9046538;1;1995
6729;9046532;5;2018
11877;9046524;2;2001
10417;9046531;2;2010
2718;9046543;4;2010
2108;9046534;2;2006
6172;9046529;1;1997
9179;9046530;3;2017
18297;9046531;1;2016
1652;9046542;3;2018
9340;9046541;4;2011
11778;9046535;5;2010
18865;9046526;4;2007
4835;9046530;5;2019
11962;9046533;4;2014
17548;9046537;2;2010
12265;9046537;4;2014
4331;9046531;2;2005
18576;9046524;1;2014
18730;9046530;2;2014
1871;9046529;3;2007
16879;9046541;4;1994
11498;9046525;4;2018
5497;9046533;5;2009
15459;9046542;4;2012
16485;9046530;1;2014
5217;9046535;5;2018
19168;9046541;5;2005
9705;9046537;1;2001
16026;9046533;4;2006
9517;9046539;3;2002
13345;9046535;3;2014
7417;9046534;5;1987
5077;9046533;4;1995
3183;9046543;5;2007
4065;9046541;3;2003
14148;9046529;3;1993
4307;9046527;3;2001
4304;9046530;5;2018
18554;9046543;3;2014
8596;9046530;4;2008
2963;9046532;5;2018
8466;9046532;4;2016
16783;9046527;1;2013
16063;9046537;4;2011
9566;9046544;4;2007
5487;9046540;1;2015
936;9046543;1;1974
6216;9046532;2;2007
19797;9046525;5;2017
238;9046531;1;1992
12509;9046530;3;2013
12888;9046526;3;2002
14945;9046533;3;2019
5937;9046538;3;2013
11892;9046539;2;1999
9899;9046538;3;2018
18120;9046528;1;2017
14892;9046532;5;1990
202;9046532;1;1977
15417;9046527;1;2017
18575;9046535;5;2015
16920;9046526;1;2008
12701;9046529;1;2008
9857;9046539;4;2014
13766;9046543;1;2018
141;9046525;2;2003
14808;9046530;3;1991
16064;9046527;3;2013
19471;9046524;5;2014
8692;9046539;5;2018
2045;9046527;4;2016
13867;9046527;5;2016
5373;9046540;2;2019
1603;9046532;1;2008
3190;9046538;3;2001
16437;9046528;4;2009
17050;9046532;1;2014
1962;9046537;2;2016
490;9046540;5;1986
8075;9046531;4;2008
10346;9046536;1;2008
4024;9046543;3;2018
4632;9046531;2;2018
15943;9046533;2;2001
19787;9046544;5;2018
8318;9046525;4;2016
10015;9046528;3;2012
12590;9046544;4;2017
12768;9046531;2;1990
7328;9046539;5;2012
1519;9046525;3;2018
3218;9046532;3;2011
15435;9046530;2;2016
9900;9046530;4;2002
16066;9046539;2;1998
13352;9046540;3;2014
1633;9046544;5;2010
9360;9046542;1;2011
3380;9046540;3;2016
1469;9046528;2;1991
17358;9046527;2;2012
12463;9046541;1;2007
11044;9046539;3;2015
19549;9046540;5;2015
5826;9046543;4;1998
19852;9046532;4;2015
11760;9046540;5;2013
17246;9046526;3;2013
11170;9046531;5;2018
2400;9046527;3;2001
19846;9046543;5;2016
8822;9046533;4;2017
3995;9046535;3;2016
12212;9046529;2;1990
16995;9046544;1;2007
5811;9046525;4;2018
13310;9046534;1;2001
12594;9046539;1;2015
7232;9046526;2;1998
1863;9046536;5;2017
8834;9046540;1;2006
3658;9046534;4;2009
18020;9046538;5;2014
4743;9046539;3;2015
12009;9046539;3;1993
18656;9046540;2;2016
6606;9046539;1;2003
16057;9046531;2;1995
3238;9046536;2;2004
16675;9046536;2;1992
9611;9046540;1;2007
14832;9046537;3;2009
16013;9046526;4;2016
17525;9046540;1;2016
10265;9046526;5;2003
15942;9046541;5;2015
14419;9046543;3;1998
2633;9046528;5;2011
3547;9046540;1;2009
4896;9046524;2;2014
18702;9046529;4;2014
1463;9046528;2;1984
15290;9046539;2;1988
8449;9046536;2;2017
2898;9046532;3;2005
16260;9046526;2;2009
11695;9046531;3;2006
1935;9046540;1;2015
5712;9046528;5;2015
18270;9046542;2;2013
6221;9046536;3;1997
3503;9046543;2;2008
19675;9046527;1;2019
4393;9046532;1;2018
11945;9046535;2;1990
14097;9046535;1;2007
2132;9046540;4;2011
18915;9046530;4;2016
10186;9046541;5;2004
5797;9046544;3;1999
14243;9046535;5;2016
11947;9046527;4;2013
40;9046540;5;2014
9042;9046544;5;2013
13241;9046535;4;2013
19500;9046526;3;2017
13943;9046530;5;1999
7064;9046528;5;2007
2709;9046544;1;2018
3111;9046528;3;2006
10554;9046528;4;2009
13796;9046539;5;2013
13642;9046527;3;1995
5946;9046531;2;2006
5067;9046528;4;2005
1572;9046528;1;2018
19668;9046536;5;2016
9648;9046529;2;2009
7145;9046536;4;2009
7848;9046534;5;2019
464;9046537;1;1993
8803;9046532;2;2017
9338;9046535;4;2016
38;9046536;5;1978
6901;9046528;1;2007
7153;9046532;1;2016
18319;9046525;3;2004
19706;9046538;4;2018
17458;9046537;1;2017
4543;9046543;5;2018
8770;9046526;4;2005
11835;9046542;2;2013
10443;9046529;3;2011
10929;9046537;4;2006
9956;9046538;1;2011
10773;9046524;4;2011
12228;9046540;5;2014
18817;9046531;4;2008
11225;9046524;2;2014
8147;9046529;1;1985
6905;9046525;5;2003
14025;9046530;4;2010
682;9046528;5;2008
18306;9046531;2;2019
1484;9046534;3;1974
10327;9046533;2;2017
12440;9046543;4;2010
2762;9046544;4;2001
14570;9046541;5;1990
12268;9046541;2;2011
12552;9046525;4;2014
12523;9046543;4;2008
13412;9046542;1;2009
19462;9046526;2;2016
16130;9046524;3;2018
6339;9046529;2;2013
14429;9046530;3;2013
7849;9046524;3;2004
15616;9046534;5;2010
17807;9046537;1;2008
7340;9046544;5;2018
5527;9046531;1;2018
13122;9046543;2;2016
18508;9046530;1;2013
19300;9046540;4;2016
9046;9046532;4;2015
7638;9046535;1;2009
6454;9046536;5;2014
14037;9046536;3;2004
14649;9046543;3;1989
8417;9046527;4;2003
11830;9046528;5;1993
1322;9046541;4;1990
12913;9046527;4;2017
11361;9046528;4;1993
13146;9046538;2;2007
13643;9046533;1;1990
7915;9046528;1;2016
718;9046529;3;1983
16919;9046534;2;2006
15168;9046536;1;2003
15720;9046543;2;2017
6664;9046532;2;2001
13019;9046544;3;2008
12132;9046535;1;2014
13118;9046528;5;2015
3508;9046533;4;2012
8051;9046543;2;2017
17880;9046530;2;2002
1454;9046538;1;1982
17402;9046533;5;2010
5086;9046538;1;2018
16154;9046527;2;2019
10793;9046539;3;2018
14275;9046527;3;2006
4585;9046527;4;2018
13526;9046540;3;2019
11141;9046538;4;2005
13874;9046533;5;2013
15184;9046534;5;2003
6241;9046536;1;2002
12492;9046535;4;2012
1070;9046538;4;1989
9000;9046531;1;2017
6933;9046533;4;2010
3324;9046531;1;2015
2124;9046539;5;2012
17828;9046535;5;2018
9626;9046532;4;2018
14067;9046525;1;2013
17289;9046535;5;1996
6169;9046524;2;1998
3152;9046532;2;2001
2299;9046527;3;2002
10921;9046525;4;2013
3117;9046535;1;2016
3154;9046541;1;2013
1311;9046531;4;1993
2796;9046531;4;2013
2519;9046533;3;2006
113;9046529;2;1998
12981;9046533;2;2012
7152;9046531;2;2018
7683;9046530;4;2019
10827;9046533;3;2009
9264;9046544;3;1996
2961;9046534;4;2012
17963;9046539;2;2010
525;9046530;3;1988
6597;9046529;4;1993
11386;9046525;4;2007
6340;9046538;2;2015
18874;9046524;5;2014
11658;9046538;1;2003
4710;9046529;5;1988
15445;9046534;3;2016
3920;9046526;4;2001
9761;9046533;1;2001
8226;9046532;2;1984
17825;9046525;4;1998
2915;9046534;4;2010
2833;9046538;2;2012
12971;9046534;2;2004
3459;9046527;4;2002
6244;9046540;5;2016
1033;9046526;3;1986
18816;9046531;2;2014
16471;9046530;3;2013
6103;9046539;5;2018
2746;9046535;1;2019
4940;9046542;2;2010
18204;9046532;4;2018
8394;9046528;3;2018
6563;9046524;2;2017
7441;9046540;4;2018
15809;9046525;3;1997
19738;9046530;3;2017
13802;9046534;1;2002
4144;9046530;1;2014
11745;9046532;4;1995
4943;9046537;5;2019
8806;9046537;5;2003
10979;9046526;1;1998
1330;9046544;4;1981
15029;9046525;5;2007
14882;9046540;2;2009
8919;9046538;3;2017
19599;9046524;3;2018
16893;9046528;5;2006
17772;9046528;5;2005
3227;9046535;2;2013
1245;9046525;1;1998
8018;9046527;4;2013
5838;9046543;4;2017
8935;9046533;5;2014
15229;9046533;2;2013
2499;9046531;4;2008
16244;9046539;5;2016
8626;9046535;3;2008
3059;9046538;3;2016
4416;9046532;2;1996
10436;9046524;1;2003
8793;9046537;4;2019
11571;9046544;1;2018
11351;9046531;4;2001
8580;9046528;3;2011
16564;9046544;1;1994
18463;9046535;2;1994
425;9046538;1;1979
19008;9046542;2;2006
7047;9046527;5;2018
12342;9046535;2;2009
9833;9046532;2;2004
6117;9046527;2;2010
18500;9046532;4;2018
15528;9046544;2;2014
1784;9046540;3;2013
4264;9046531;2;2018
6051;9046544;4;2012
717;9046534;4;2011
19700;9046536;1;2018
2936;9046542;4;2014
5340;9046536;4;2016
3567;9046528;2;2007
19621;9046531;4;2018
7589;9046542;1;2007
8351;9046526;3;2017
11938;9046524;1;2014
13495;9046533;4;2018
2745;9046533;2;2011
