:END_ID;city:string;:START_ID;editionNo:int;year:int
359;Philadelphia;100000002;4;1994
361;Beejing;100000003;1;2017
362;London;100000001;3;1995
363;Mumbai;100000000;2;2002
368;New York;100000004;1;1990
369;Sau Paulo;100000004;2;2007
370;Sau Paulo;100000002;1;1994
371;New York;100000002;1;1971
373;Bagota;100000000;5;1984
374;London;100000004;1;1998
375;Sau Paulo;100000002;1;1982
377;Stockholm;100000004;2;1991
378;Sau Paulo;100000000;2;1998
380;Stockholm;100000005;2;1987
381;Beejing;100000005;5;1997
386;New York;100000001;4;2005
389;Philadelphia;100000001;1;2017
390;Sau Paulo;100000005;3;2014
391;New York;100000000;3;2004
392;New York;100000003;5;1973
393;Bagota;100000005;5;1983
394;New York;100000005;5;1994
395;Sau Paulo;100000002;2;1988
396;Mumbai;100000003;5;1985
397;Sau Paulo;100000001;1;1985
398;Mumbai;100000005;1;1985
399;Sau Paulo;100000004;1;1985
401;Beejing;100000003;4;1982
402;New York;100000001;3;2004
404;Bagota;100000002;1;1996
407;New York;100000002;5;2004
408;London;100000001;5;1982
409;Stockholm;100000000;4;1987
410;Stockholm;100000003;4;2012
411;Stockholm;100000002;4;1988
413;Stockholm;100000005;3;1983
414;Mumbai;100000005;4;2006
415;New York;100000000;1;2005
417;London;100000000;3;1982
419;Philadelphia;100000003;1;1975
421;Sau Paulo;100000000;5;1985
423;Beejing;100000000;5;1978
424;New York;100000004;5;1992
427;Sau Paulo;100000005;1;2000
429;London;100000004;1;2001
431;Stockholm;100000006;4;2009
432;London;100000002;2;1992
434;Bagota;100000005;2;1986
435;Bagota;100000000;4;1992
437;Beejing;100000001;4;2000
438;New York;100000006;5;1979
440;Bagota;100000003;1;2001
442;Mumbai;100000001;5;1986
444;Philadelphia;100000003;3;2017
445;Beejing;100000001;2;2006
446;London;100000003;1;1979
448;Beejing;100000004;4;1991
449;Philadelphia;100000003;1;1990
454;London;100000005;2;1981
457;London;100000003;5;1974
458;Sau Paulo;100000006;2;2007
459;Beejing;100000003;2;1995
460;Stockholm;100000003;5;2001
461;Bagota;100000000;3;1991
463;Stockholm;100000001;1;2011
465;Mumbai;100000001;3;1985
467;Bagota;100000001;2;2012
469;Philadelphia;100000002;1;1974
470;Beejing;100000003;4;2003
471;London;100000003;4;1990
473;New York;100000003;2;2003
474;Bagota;100000001;2;2009
475;Bagota;100000003;3;1981
476;London;100000006;4;2017
478;London;100000004;5;1988
480;Stockholm;100000002;5;1981
481;New York;100000001;5;2012
484;Sau Paulo;100000003;4;1997
485;Sau Paulo;100000003;3;1982
486;New York;100000003;3;1976
487;Bagota;100000005;5;1985
489;Mumbai;100000003;3;2009
491;Sau Paulo;100000005;1;2003
492;Beejing;100000004;2;2003
493;Mumbai;100000004;1;1985
494;New York;100000001;4;1989
496;Beejing;100000003;1;1993
497;New York;100000006;2;1996
498;Bagota;100000000;1;2001
501;Mumbai;100000002;4;1995
504;Bagota;100000003;4;2011
505;Sau Paulo;100000004;3;2004
509;Stockholm;100000004;5;1976
510;Beejing;100000006;3;1982
511;Stockholm;100000006;5;2012
512;Beejing;100000004;2;1977
513;Mumbai;100000006;5;1974
517;Beejing;100000000;2;1978
518;New York;100000003;5;1990
520;Beejing;100000003;2;1998
522;New York;100000005;1;2001
523;London;100000001;2;1984
524;Philadelphia;100000005;1;1983
526;Bagota;100000001;4;2000
529;New York;100000005;5;1992
530;Sau Paulo;100000000;3;2013
533;Sau Paulo;100000000;4;1979
534;Stockholm;100000002;3;2019
536;Sau Paulo;100000006;4;2000
539;Sau Paulo;100000005;4;2017
540;Philadelphia;100000002;3;2007
541;Bagota;100000001;2;1977
544;Stockholm;100000001;3;2014
545;Mumbai;100000004;3;1991
549;Bagota;100000006;1;1993
550;Bagota;100000001;3;2018
552;New York;100000002;4;2006
553;Sau Paulo;100000005;3;2017
554;Philadelphia;100000006;1;1998
557;New York;100000003;3;1972
559;Sau Paulo;100000004;2;1996
561;Stockholm;100000000;1;2006
563;Stockholm;100000003;4;1977
564;Stockholm;100000000;2;1983
565;Bagota;100000004;2;1979
566;Mumbai;100000002;4;1976
567;Sau Paulo;100000006;4;2002
568;Beejing;100000006;5;2006
571;Philadelphia;100000001;1;2016
572;Beejing;100000005;5;1985
573;Mumbai;100000006;1;1984
574;London;100000002;5;1998
575;Philadelphia;100000006;2;1985
576;Sau Paulo;100000005;3;2000
577;Sau Paulo;100000003;1;1979
578;London;100000001;4;1976
580;Sau Paulo;100000003;4;1973
582;London;100000006;5;1998
583;Sau Paulo;100000004;1;1973
589;Mumbai;100000001;5;1989
593;Mumbai;100000003;4;2005
595;Mumbai;100000005;1;2009
596;Stockholm;100000004;4;1983
597;Beejing;100000002;4;1971
601;Stockholm;100000003;2;1989
602;Bagota;100000004;4;2000
604;New York;100000001;5;1978
606;Stockholm;100000005;1;1993
609;Beejing;100000001;5;1996
610;Sau Paulo;100000002;3;2013
611;Bagota;100000004;5;2015
612;London;100000001;3;1985
613;London;100000001;4;1997
617;New York;100000000;1;1976
618;Stockholm;100000003;1;1983
620;Philadelphia;100000005;4;1978
622;Philadelphia;100000002;2;1972
624;Mumbai;100000006;2;1997
627;Sau Paulo;100000005;1;1976
629;Mumbai;100000004;1;2010
632;Mumbai;100000003;3;1993
633;Stockholm;100000001;5;1986
634;Beejing;100000002;3;1980
636;Beejing;100000001;2;2005
637;Beejing;100000006;2;2012
638;New York;100000005;4;2018
639;Beejing;100000001;3;1985
642;Sau Paulo;100000003;1;1987
643;Mumbai;100000004;3;2018
645;Stockholm;100000002;1;2017
646;Stockholm;100000003;1;1978
647;Stockholm;100000002;2;1978
648;Philadelphia;100000003;3;1978
649;Mumbai;100000006;5;2012
651;Beejing;100000003;3;1999
652;Sau Paulo;100000000;1;1991
653;Mumbai;100000006;4;2006
655;Philadelphia;100000002;4;1982
656;Sau Paulo;100000002;1;1979
657;New York;100000005;5;1996
658;London;100000002;4;1996
659;Sau Paulo;100000004;4;2003
660;Stockholm;100000005;4;2008
661;Mumbai;100000005;5;1990
662;Stockholm;100000002;5;1989
665;Philadelphia;100000004;3;2007
670;Philadelphia;100000001;2;1973
671;London;100000005;2;1971
673;London;100000002;1;1981
674;Stockholm;100000006;2;1992
675;Sau Paulo;100000003;1;1976
678;Mumbai;100000000;2;2003
679;Mumbai;100000004;2;1992
680;New York;100000006;3;2015
681;Stockholm;100000001;4;1977
683;Mumbai;100000000;3;1983
684;Mumbai;100000005;2;1989
685;Sau Paulo;100000004;2;2001
686;Mumbai;100000000;5;1986
687;Mumbai;100000006;2;1983
688;Beejing;100000002;5;1989
689;Beejing;100000000;3;2005
690;Beejing;100000005;1;1982
691;London;100000005;3;2018
693;Bagota;100000003;3;1983
694;Bagota;100000006;2;1996
695;Philadelphia;100000005;5;2018
699;New York;100000005;1;1998
700;New York;100000002;5;2008
703;Sau Paulo;100000006;2;1981
704;Stockholm;100000002;4;1976
705;Stockholm;100000001;5;1983
707;New York;100000003;5;2007
708;Stockholm;100000000;5;1974
709;Philadelphia;100000001;1;1995
710;New York;100000000;4;1971
711;Bagota;100000003;2;1971
714;Mumbai;100000004;5;2008
719;Bagota;100000005;5;1983
720;Bagota;100000000;2;1989
722;Mumbai;100000005;5;1982
723;London;100000002;1;2003
727;Beejing;100000006;1;2013
728;Sau Paulo;100000004;1;1991
730;London;100000002;2;1995
732;New York;100000004;4;1982
733;Philadelphia;100000005;1;1980
734;London;100000003;4;1980
735;Stockholm;100000003;1;1981
736;Sau Paulo;100000000;1;1979
737;Bagota;100000005;3;1980
739;Beejing;100000004;1;1978
741;Philadelphia;100000006;3;1993
742;Beejing;100000001;2;1977
744;Bagota;100000003;1;1990
745;Sau Paulo;100000005;2;1988
747;Mumbai;100000004;5;1972
748;Beejing;100000004;5;1997
749;Mumbai;100000000;4;2002
752;Beejing;100000005;5;2000
756;Beejing;100000005;5;2004
757;Mumbai;100000001;4;1982
758;Mumbai;100000005;5;1996
759;Bagota;100000004;5;1984
761;Bagota;100000001;1;2009
762;Stockholm;100000003;1;1985
764;Sau Paulo;100000002;5;1981
767;New York;100000003;2;1976
768;Stockholm;100000002;2;1994
769;Beejing;100000002;5;1979
771;Bagota;100000003;4;1993
772;London;100000001;1;1981
774;Mumbai;100000006;5;1999
775;Bagota;100000004;5;1995
777;Sau Paulo;100000002;2;2003
778;Stockholm;100000001;4;1993
779;Philadelphia;100000006;3;1986
780;Bagota;100000004;3;2015
781;New York;100000005;4;1987
783;Stockholm;100000004;2;1981
784;Beejing;100000002;1;2002
785;Mumbai;100000000;5;1977
786;Bagota;100000003;5;1978
787;Bagota;100000005;1;1983
788;Stockholm;100000003;5;2002
791;Stockholm;100000005;5;1995
792;Philadelphia;100000002;2;1998
793;New York;100000005;5;1996
794;New York;100000005;2;2018
795;Mumbai;100000001;5;2008
796;Beejing;100000005;5;1977
804;Mumbai;100000006;5;1983
807;Stockholm;100000004;4;2012
808;Stockholm;100000003;2;2013
810;Beejing;100000003;3;1986
812;Beejing;100000006;4;1980
814;Bagota;100000003;2;2011
815;New York;100000002;5;1977
816;Stockholm;100000004;2;1990
817;London;100000006;5;1986
818;Bagota;100000005;5;1979
820;Philadelphia;100000006;3;1985
821;Philadelphia;100000001;1;1975
823;Bagota;100000004;3;2005
824;Stockholm;100000006;4;1983
825;New York;100000001;5;1988
826;Sau Paulo;100000004;3;1988
827;London;100000005;5;1994
831;New York;100000006;1;1990
833;Sau Paulo;100000001;2;1994
834;Sau Paulo;100000005;3;1975
835;Bagota;100000000;5;1996
836;Philadelphia;100000002;5;1991
837;Philadelphia;100000005;5;1976
839;Beejing;100000000;5;1986
841;London;100000000;1;1987
843;Beejing;100000002;5;1992
844;London;100000004;1;1983
845;Beejing;100000005;2;2008
847;London;100000001;1;2004
848;Bagota;100000003;5;1995
849;Sau Paulo;100000001;3;1980
850;Mumbai;100000000;4;1989
852;Beejing;100000003;1;1991
853;Philadelphia;100000001;3;1976
857;Bagota;100000006;4;2018
858;Mumbai;100000002;4;1982
859;Stockholm;100000003;3;1997
863;Beejing;100000002;4;2014
866;Philadelphia;100000005;5;2009
867;Stockholm;100000006;2;1997
873;Beejing;100000006;2;1973
875;Philadelphia;100000005;4;1986
878;Mumbai;100000001;2;1984
879;Mumbai;100000000;2;2001
886;Mumbai;100000004;2;1985
888;New York;100000005;1;1973
889;Beejing;100000006;1;2000
892;Mumbai;100000005;2;1973
893;Mumbai;100000005;3;1998
895;Sau Paulo;100000004;2;1976
896;Beejing;100000003;2;1987
898;Stockholm;100000006;4;1991
900;New York;100000001;2;1984
904;Bagota;100000006;1;1997
906;Sau Paulo;100000005;1;1981
907;Sau Paulo;100000003;4;2015
908;Sau Paulo;100000002;4;1996
910;Mumbai;100000002;4;1979
911;Philadelphia;100000001;4;2013
912;Mumbai;100000003;3;1978
913;Sau Paulo;100000001;5;2012
915;Bagota;100000005;2;1984
916;New York;100000005;4;1979
918;Beejing;100000003;2;1983
919;New York;100000003;3;1983
920;New York;100000003;2;1981
922;Sau Paulo;100000002;5;2016
926;Stockholm;100000001;2;2016
929;Philadelphia;100000004;2;2010
930;Bagota;100000004;3;1990
932;Stockholm;100000006;2;1972
933;Sau Paulo;100000002;3;1986
935;London;100000006;2;1987
938;London;100000002;4;1986
939;Bagota;100000006;4;1986
940;Stockholm;100000002;2;1999
942;Sau Paulo;100000006;4;1978
943;Bagota;100000005;5;1999
944;Stockholm;100000003;3;1981
946;Stockholm;100000002;1;1993
947;Mumbai;100000003;1;1976
948;Mumbai;100000002;5;2002
949;Philadelphia;100000006;4;1992
951;Mumbai;100000005;5;2000
952;Mumbai;100000000;5;1987
954;Mumbai;100000000;1;1995
959;Bagota;100000005;2;2015
960;Bagota;100000006;4;1989
961;London;100000004;1;1996
962;Philadelphia;100000000;3;1974
964;London;100000000;2;1989
966;Philadelphia;100000006;1;1980
968;Sau Paulo;100000003;1;2018
969;London;100000003;2;1974
970;Bagota;100000003;3;2003
972;Beejing;100000002;5;1994
973;Beejing;100000005;3;1980
974;London;100000001;5;2014
975;Sau Paulo;100000006;5;1976
976;Stockholm;100000005;3;1991
977;Mumbai;100000002;4;1985
979;Stockholm;100000003;2;2010
981;Beejing;100000003;3;1980
982;Beejing;100000000;3;1997
983;Philadelphia;100000006;4;1993
984;Philadelphia;100000000;4;1985
985;Philadelphia;100000005;1;1990
987;Stockholm;100000006;4;1978
989;Philadelphia;100000003;4;1983
993;London;100000000;4;2010
994;Philadelphia;100000004;2;1976
995;Mumbai;100000005;2;1983
996;New York;100000006;2;1989
1000;Stockholm;100000000;3;1988
1005;Stockholm;100000000;2;2018
1007;London;100000004;4;1994
1010;Philadelphia;100000006;2;1990
1011;Bagota;100000006;3;2008
1012;Stockholm;100000003;4;1998
1013;Stockholm;100000004;4;1988
1015;Sau Paulo;100000005;2;1973
1017;Beejing;100000001;3;2002
1018;London;100000006;1;2010
1019;Stockholm;100000003;2;2011
1020;Beejing;100000002;2;1981
1021;Stockholm;100000001;5;1990
1023;Stockholm;100000005;4;1985
1025;Mumbai;100000001;3;1974
1026;Bagota;100000004;2;2006
1027;Sau Paulo;100000001;2;1976
1029;Bagota;100000004;5;2009
1030;Bagota;100000004;2;1990
1031;Mumbai;100000001;3;1994
1032;Sau Paulo;100000003;3;1998
1034;Stockholm;100000002;1;2009
1035;New York;100000004;1;2017
1037;Mumbai;100000001;2;1978
1038;Mumbai;100000002;4;1997
1040;London;100000004;2;2000
1042;Stockholm;100000001;3;2016
1045;Bagota;100000004;5;1998
1047;Philadelphia;100000001;3;1976
1050;Philadelphia;100000002;2;1994
1053;Sau Paulo;100000005;1;1995
1054;Bagota;100000001;3;1985
1055;Mumbai;100000004;1;1988
1058;Philadelphia;100000001;4;2004
1059;London;100000004;3;1980
1060;Beejing;100000001;5;1979
1061;Bagota;100000002;1;1997
1063;Bagota;100000006;5;1997
1064;London;100000001;2;1974
1065;Beejing;100000000;5;1999
1066;Sau Paulo;100000006;1;1993
1069;Philadelphia;100000003;1;2007
1071;London;100000006;1;2017
1072;Mumbai;100000003;2;1983
1073;Sau Paulo;100000006;1;1999
1074;Philadelphia;100000004;2;1982
1075;Mumbai;100000005;4;2016
1077;Mumbai;100000006;1;1973
1079;Bagota;100000001;5;1979
1083;Bagota;100000002;4;1978
1085;New York;100000006;4;1982
1086;Philadelphia;100000003;3;2010
1087;Sau Paulo;100000003;2;1987
1088;Mumbai;100000005;4;1987
1089;New York;100000006;2;1975
1090;Stockholm;100000004;5;2007
1091;London;100000000;3;1987
1092;Bagota;100000005;2;1988
1094;Sau Paulo;100000001;1;2016
1096;Beejing;100000000;3;1976
1098;Stockholm;100000002;2;2002
1100;Philadelphia;100000003;5;1981
1101;London;100000004;2;1989
1102;London;100000006;5;2017
1104;Bagota;100000000;4;1980
1106;Sau Paulo;100000006;3;2012
1107;Stockholm;100000002;1;1986
1108;Beejing;100000006;2;1974
1112;Philadelphia;100000001;1;1986
1113;New York;100000001;5;2015
1114;Stockholm;100000004;3;1998
1115;Stockholm;100000001;2;1996
1116;Mumbai;100000006;5;1975
1117;Sau Paulo;100000003;3;1982
1118;New York;100000005;4;2004
1119;Beejing;100000006;1;1973
1121;Philadelphia;100000006;3;1976
1122;Philadelphia;100000003;3;1989
1123;Stockholm;100000001;5;1979
1125;Philadelphia;100000001;2;1990
1126;Sau Paulo;100000000;3;1998
1129;Stockholm;100000000;2;1982
1130;Sau Paulo;100000002;3;2007
1133;Mumbai;100000003;1;1994
1134;New York;100000005;2;1989
1135;Mumbai;100000004;2;1984
1136;Sau Paulo;100000006;1;1990
1137;Sau Paulo;100000002;4;2005
1139;Mumbai;100000001;4;1976
1143;Philadelphia;100000000;2;1995
1145;Bagota;100000001;1;1988
1148;Stockholm;100000000;4;1993
1149;New York;100000000;5;2015
1153;Bagota;100000001;2;1982
1154;London;100000005;4;1978
1155;London;100000004;3;1980
1156;New York;100000001;3;2018
1157;Sau Paulo;100000002;4;1984
1158;Bagota;100000006;1;2000
1159;Bagota;100000004;3;2002
1160;New York;100000004;1;1996
1161;Philadelphia;100000005;2;1978
1164;Sau Paulo;100000001;2;1982
1167;Mumbai;100000003;1;2000
1168;Mumbai;100000001;2;1973
1169;Mumbai;100000006;5;2012
1171;Mumbai;100000001;4;1986
1172;Mumbai;100000001;1;1980
1176;New York;100000000;5;1999
1177;Stockholm;100000006;5;1998
1178;Stockholm;100000003;5;1997
1179;Beejing;100000001;2;1992
1180;Stockholm;100000006;3;1997
1181;Beejing;100000003;2;2004
1182;New York;100000006;1;1974
1183;Stockholm;100000006;2;1972
1185;Beejing;100000002;4;1986
1186;New York;100000002;5;2007
1189;Bagota;100000003;4;1977
1191;Sau Paulo;100000004;5;1986
1193;London;100000003;4;1974
1194;New York;100000005;3;1997
1195;Sau Paulo;100000006;4;1998
1197;London;100000005;4;1979
1198;Philadelphia;100000005;3;2008
1199;Beejing;100000003;5;1981
1200;Stockholm;100000003;2;1978
1201;London;100000006;5;1981
1202;New York;100000000;5;1981
1203;Mumbai;100000001;4;1995
1204;Bagota;100000000;1;1983
1208;Mumbai;100000004;4;1985
1209;Bagota;100000001;3;1994
1211;London;100000000;1;1983
1212;Philadelphia;100000005;4;1991
1213;Sau Paulo;100000005;5;1983
1214;Philadelphia;100000002;1;2014
1215;Philadelphia;100000004;2;1976
1216;Stockholm;100000002;3;2003
1217;Sau Paulo;100000000;3;1972
1220;London;100000001;5;2001
1222;Philadelphia;100000005;3;2016
1223;Beejing;100000000;3;1990
1225;Beejing;100000001;2;1994
1227;Bagota;100000005;5;1987
1229;Stockholm;100000002;3;1997
1230;Mumbai;100000000;1;1986
1231;London;100000006;3;1977
1232;Bagota;100000006;3;1995
1233;Philadelphia;100000004;3;1986
1234;Bagota;100000006;5;1974
1235;Stockholm;100000006;5;1973
1236;New York;100000002;5;2009
1237;Mumbai;100000003;3;2007
1238;London;100000006;1;2003
1239;Bagota;100000000;4;2006
1240;New York;100000001;5;1986
1241;Philadelphia;100000005;4;1997
1242;Mumbai;100000003;2;1990
1243;Stockholm;100000002;5;1993
1244;New York;100000000;4;1995
1247;Sau Paulo;100000001;5;1993
1248;London;100000004;5;1996
1249;Philadelphia;100000000;3;1977
1252;Beejing;100000000;5;2018
1253;Sau Paulo;100000006;1;2000
1255;Sau Paulo;100000006;2;2007
1261;Philadelphia;100000006;4;1982
1262;Beejing;100000002;4;2010
1263;Bagota;100000000;5;1980
1264;Sau Paulo;100000003;2;2007
1266;Stockholm;100000004;2;1975
1267;London;100000002;3;2004
1268;Bagota;100000000;1;1982
1269;New York;100000000;1;1980
1270;New York;100000000;4;2012
1272;New York;100000004;2;1993
1273;Beejing;100000005;4;2004
1274;New York;100000002;4;2001
1275;Stockholm;100000006;3;2002
1280;New York;100000001;5;1993
1282;Beejing;100000005;1;1978
1283;Stockholm;100000000;3;1984
1286;London;100000003;2;2010
1287;Sau Paulo;100000004;5;1976
1288;Sau Paulo;100000000;3;2017
1291;New York;100000005;1;2005
1294;Sau Paulo;100000004;3;1984
1295;Stockholm;100000001;4;2017
1298;Mumbai;100000006;4;1974
1304;Mumbai;100000002;1;1991
1305;London;100000002;2;2015
1306;London;100000002;1;2015
1307;Beejing;100000000;2;1996
1309;Sau Paulo;100000002;1;1987
1310;Beejing;100000006;2;1991
1312;New York;100000005;4;1982
1313;New York;100000002;2;1986
1314;Beejing;100000001;2;1980
1315;Sau Paulo;100000001;1;1986
1316;London;100000002;4;1977
1319;Beejing;100000003;3;1997
1323;Philadelphia;100000002;5;2009
1324;Bagota;100000001;1;2007
1326;London;100000006;3;1993
1327;Stockholm;100000001;1;1997
1328;Philadelphia;100000005;4;1974
1329;Mumbai;100000003;5;2016
1331;Mumbai;100000003;3;2008
1332;Philadelphia;100000003;5;2007
1336;New York;100000005;3;1986
1338;Bagota;100000000;2;1993
1339;Sau Paulo;100000006;3;1988
1340;Bagota;100000006;1;1974
1341;New York;100000003;4;1997
1343;Bagota;100000005;1;2002
1345;Philadelphia;100000002;3;1996
1347;Beejing;100000001;4;1997
