:ID;pageCount:string;title:string;volumeNo:int;publishedYear:int
46;309-318;Persistence of Vector Replacement Systems is Decidable.;15;1981
47;347-366;Implementing Daubechies Wavelet Transform with Weighted Finite Automata.;34;1997
48;293-307;Functional Behavior in Data Spaces.;9;1978
49;497-514;Inductive Completion with Retracts.;25;1988
50;1-31;Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.;24;1987
51;61-73;Complete Parameterized Families of Job Scheduling Strategies.;8;1977
52;441-465;Modelling higher-order dual nondeterminacy.;45;2008
53;237-255;Dispatcher Primitives for the Construction of Operating System Kernels.;5;1975
54;249-252;A Note on Multihead Automata and Context-Sensitive Languages;2;1973
55;329-340;A Recursive Second Order Initial Algebra Specification of Primitive Recursion.;31;1994
56;343-378;Compositional schedulability analysis of real-time actor-based systems.;54;2017
57;341-378;Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.;31;1994
58;555-564;Worst Case Performance of Weighted Buddy Systems.;24;1987
59;545-596;Contextual Nets.;32;1995
60;109-158;COSY - A System Specification Language Based on Paths and Processes.;12;1979
61;211-236;Applying relation algebra and Rel View to solve problems on orders and lattices.;45;2008
62;31-59;Eliminating Unit Productions from LR Parsers.;9;1977
63;213-239;Attribute (Re)evaluation in OPTRAN.;26;1988
64;1-15;On Parallel Integer Sorting.;29;1992
65;513-524;Domain Independence and the Relational Calculus.;31;1994
66;131-152;Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.;33;1996
67;67-78;Bounded Quantification and Relations Recognizable by Finite Automata.;10;1978
68;617-663;A Complete Algebraic Characterization of Behavioral Subtyping.;36;2000
69;89-147;Efficient execution of dynamically controllable simple temporal networks with uncertainty.;53;2016
70;337-346;Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.;34;1997
71;651-671;Behavioural Approaches to Algebraic Specifications: A Comparative Study.;31;1994
72;139-172;Instruction sequence processing operators.;49;2012
73;27-29;What is Failure? An Approach to Constructive Negation.;32;1995
74;433-474;STG decomposition strategies in combination with unfolding.;46;2009
75;1-9;Quad Trees: A Data Structure for Retrieval on Composite Keys.;4;1974
76;297-304;On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.;19;1983
77;183-195;A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.;7;1976
78;461-488;Probabilistic bisimulation for realistic schedulers.;55;2018
79;477-485;Explaining the Wheel Sieve.;17;1982
80;153-169;Another Polynomial Homomorphism.;6;1976
81;21-37;Variance Reduction Techniques for the Simulation of Markov Process.;13;1980
82;67-85;State complexity of deletion and bipolar deletion.;53;2016
83;689-696;Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.;23;1986
84;1-33;Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.;56;2019
85;399-433;Regular and context-free nominal traces.;54;2017
86;229-255;Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.;50;2013
87;543-544;Special issue: Synthesis and SYNT 2014.;54;2017
88;351-367;On the Synchronization in Parallel Communicating Grammar Systems.;30;1993
89;155-170;Weakly Context-Sensitive Languages as Model for Programming Languages.;3;1974
90;145-152;Rules of Inference for Procedure Calls.;8;1977
91;151-166;The Construction of Operator Interfaces Based on Logical Input Devices.;19;1983
92;131-192;High Level Tree Transducers and Iterated Pushdown Tree Transducers.;26;1988
93;59-66;Gobang ist PSPACE-vollständig.;13;1980
94;209-219;A note on autodense related languages.;47;2010
95;131-145;Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.;43;2006
96;255-275;Optimizing the Costs of Hierarchical Quorum Consensus.;33;1996
97;463-508;Recursive Petri nets.;44;2007
98;111-121;Multitype Multiprogramming Models.;7;1976
99;271-292;Automatic Correction of Syntax-Errors in Programming Languages.;4;1974
100;395-417;Representation and uniformization of algebraic transductions.;43;2007
101;231-264;Concurrent Bisimulations in Petri Nets.;28;1991
102;21-42;Enhanced prefetching and caching strategies for single- and multi-disk systems.;42;2005
103;203-231;Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.;25;1988
104;133-152;State space axioms for T-systems.;52;2015
105;561-590;Extended multi bottom-up tree transducers.;46;2009
106;199-217;The Clean Termination of Iterative Programs.;16;1981
107;371-389;Infinite Proof Rules for Loops.;14;1980
108;505-539;Nonfinite Axiomatizability of the Equational Theory of Shuffle.;35;1998
109;727-742;Running a job on a collection of partly available machines, with on-line restarts.;37;2001
110;481-503;Data Refinement by Calculation.;27;1990
111;503-535;Program Refinement in Fair Transition Systems.;30;1993
112;595-627;A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.;22;1986
113;813-857;M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.;35;1998
114;459-476;On the Look-Ahead Problem in Lexical Analysis.;32;1995
115;693-726;A theory of formal synthesis via inductive learning.;54;2017
116;285-295;The maximum gain of increasing the number of preemptions in multiprocessor scheduling.;46;2009
117;273-292;Data Encodings and Their Costs.;9;1978
118;77-88;Hierarchies of Complete Problems.;6;1976
119;64-78;Ein Vollständigkeitssatz für Programme und Schaltkreise.;1;1971
120;291-347;Type-based information flow analysis for the pi-calculus.;42;2005
121;293-295;Sur une Conjecture de S. Greibach.;3;1974
122;105-109;A Conservation Law for G/G/m Queueing Systems.;10;1978
123;53-58;Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.;13;1980
124;773-803;Context-Free Graph Grammars and Concatenation of Graphs.;34;1997
125;305-320;On a Class of Recursive Procedures and Equivalent Iterative Ones.;12;1979
126;107-116;Algorithms for Fast Evaluation of Boolean Expressions.;4;1975
127;127-190;A general account of coinduction up-to.;54;2017
128;190-199;A Comparison of Two Synchronizing Concepts.;1;1972
129;545-590;How to Calculate Symmetries of Petri Nets.;36;2000
130;87-106;Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.;4;1974
131;553-581;Recognizability of graph and pattern languages.;42;2006
132;297-315;The Synthesis Problem of Petri Nets.;33;1996
133;149-168;A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.;11;1979
134;61-106;On weighted first-order logics with discounting.;51;2014
135;63-85;A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.;16;1981
136;329-354;Demonic, angelic and unbounded probabilistic choices in sequential programs.;37;2001
137;737-760;An Efficiency Preorder for Processes.;29;1992
138;817-835;On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.;36;2000
139;349-362;Modeling Splits in File Structures.;26;1989
140;761-778;Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.;29;1992
141;31-70;Synchronized regular expressions.;39;2003
142;533-547;On regular tree languages and deterministic pushdown automata.;46;2009
143;375-393;A Modal Logic for Message Passing Processes.;32;1995
144;423-452;Maintaining Range Trees in Secondary Memory. Part I: Partitions.;27;1990
145;485-491;Does indirect addressing matter? - A note.;49;2012
146;295-334;Reasoning Algebraically about Loops.;36;1999
147;11-47;A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.;4;1974
148;647-679;Trace Nets and Process Automata.;32;1995
149;621-648;Metric propositional neighborhood logic with an equivalence relation.;53;2016
150;293-298;A Principle of Independence for Binary Tree Searching.;4;1974
151;271-291;Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.;21;1984
152;485-500;The Paging Drum Queue: A Uniform Perspective and Further Results.;21;1984
153;157-171;The Undecidability of the Unification and Matching Problem for Canonical Theories.;24;1987
154;35-63;The Programming Language Pascal.;1;1971
155;255-284;Semantics, calculi, and analysis for object-oriented specifications.;46;2009
156;253-269;Inhibitionsfelder.;1;1972
157;553-569;Head and state hierarchies for unary multi-head finite automata.;51;2014
158;383-408;On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.;13;1980
159;415-434;The stuttering principle revisited.;41;2005
160;145-156;Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.;24;1987
161;255-270;Lazy Structure Sharing for Query Optimization.;32;1995
162;535-594;Fair ambients.;43;2007
163;325-334;Concurrent Access to Data.;8;1977
164;565-586;Relaxed red-black trees with group updates.;38;2002
165;149-162;Generation of Efficient ;23;1986
166;243-269;A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.;48;2011
167;673-688;Priority Conflict-Free Petri Nets.;35;1998
168;119-133;Optimum Multiway Search Trees.;14;1980
169;171-181;Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.;21;1984
170;79-92;Parallel Integer Sorting Using Small Operations.;32;1995
171;119-140;Stochastic cooperative distributed grammar systems and random graphs.;39;2003
172;525-553;Performance Evaluation of Fork and Join Synchronization Primitives.;24;1987
173;1-18;Some properties of the disjunctive languages contained in ;48;2011
174;335-344;Systolic Automata for VLSI on Balanced Trees.;18;1982
175;385-430;A new natural structural congruence in the pi-calculus with replication.;40;2004
176;197-216;Optimal Multiprogramming.;7;1976
177;623-643;Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.;29;1992
178;393-407;On Real-Time Cellular Automata and Trellis Automata.;21;1984
179;1-65;Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.;36;1999
180;805-835;Performance Preorder and Competitive Equivalence.;34;1997
181;271-294;A Survey of Normal Form Covers for Context Free Grammars.;14;1980
182;73-80;A Note on Synthesis and Classification of Sorting Algorithms.;27;1989
183;209-235;Liveness of a mutex algorithm in a fair process algebra.;46;2009
184;87-91;Another Look at the Longest Ascending Subsequence Problem.;16;1981
185;451-476;Complexity Theory and the Operational Structure of Algebraic Programming Systems.;17;1982
186;609-678;Models for Reactivity.;30;1993
187;1075-1096;Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.;35;1998
188;305-332;A Proof System for Distributed Processes.;25;1988
189;393-409;Finite State Relational Programs.;18;1982
190;347-362;A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.;16;1981
191;165-189;MAT learners for tree series: an abstract data type and two realizations.;48;2011
192;57-78;Exponentially decreasing number of operations in balanced trees.;42;2005
193;1-20;Correctness of the Compiling Process Based on Axiomatic Semantics.;14;1980
194;67-86;Paramodulated Connection Graphs.;13;1980
195;105-135;The Lattice of Data Refinement.;31;1994
196;125-144;Backtracking in Recursive Computations.;8;1977
197;445-457;A first step in characterizing three-element codes.;55;2018
198;141-154;Efficient LL(1) Error Correction and Recovery Using Only Insertions.;13;1980
199;1-31;Formal Derivation of Strongly Correct Concurrent Programs.;12;1979
200;155-168;Efficient Worst-Case Data Structures for Range Searching.;13;1980
201;61-78;A Formal Identification between Tuples and Lists with an Application to List-Arithmetic Categories.;32;1995
202;305-317;Monotone Data Flow Analysis Frameworks.;7;1977
203;511-522;Disambiguating Grammars by Exclusion of Sub-Parse Trees.;33;1996
204;61-88;Axiomatising Finite Delay Operators.;21;1984
205;287-308;Laws of Data Refinement.;26;1989
206;293-306;Representing the integers with powers of 2 and 3.;43;2006
207;273-291;Fast allocation and deallocation with an improved buddy system.;41;2005
208;353-362;A Linear Space Algorithm for the LCS Problem.;24;1987
209;389-418;Refinement of actions for real-time concurrent systems with causal ambiguity.;42;2006
210;619-632;Efficient recognition algorithms for boundary and linear eNCE graph languages.;37;2001
211;697-718;Comparing Locality and Causality Based Equivalences.;31;1994
212;665-683;Proving Relative Lower Bounds for Incremental Algorithms.;27;1990
213;253-282;Zur Theorie der Partiell-linearen Realisierungen endlicher Automaten;2;1973
214;91-129;Data Refinement of Mixed Specifications.;35;1998
215;579-595;A note on pure and p-pure languages.;39;2003
216;297-329;A distributed resource allocation algorithm for many processes.;50;2013
217;577-595;Complexity of Distributed Commit Protocols.;26;1989
218;33-42;Adaptive sorting: an information theoretic perspective.;45;2008
219;285;Erratum: Predicative Methodology.;26;1988
220;211-221;The Correctness of the Schorr-Waite List Marking Algorithm.;11;1979
221;597-605;Synchronizable Deterministic Pushdown Automata and the Decidability of their Equivalence.;23;1986
222;109-133;Distance Measures for Point Sets and their Computation.;34;1997
223;17-30;Optimum Reorganization Points for Arbitrary Database Costs.;18;1982
224;625-654;Model-checking iterated games.;54;2017
225;321-345;Analyse d'un algorithme de gestion simultanée Mémoire centrale - Disque de pagination.;3;1974
226;733-754;Opportunistic Algorithms for Eliminating Supersets.;28;1991
227;449-465;Synchronized extension systems.;37;2001
228;1-2;Klaus Samelson.;15;1981
229;265-272;The Method of Attributes for Data Flow Analysis: Part II. Demand Analysis.;10;1978
230;687-706;Reduction Rules for Time Petri Nets.;33;1996
231;79-91;Electing a Leader in a Ring with Link Failures.;24;1987
232;387-408;Parallel Approximation Schemes for Problems on Planar Graphs.;33;1996
233;77-122;Compositional type checking of delta-oriented software product lines.;50;2013
234;673-692;Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.;36;2000
235;287-310;On Parsing Arithmetic Expressions in a Multiprocessing Environment.;17;1982
236;41-83;Assume-admissible synthesis.;54;2017
237;229-237;A Probabilistic Analysis of the Height of Tries and of the Complexity of Triesort.;21;1984
238;779-791;A Class of Coders Based on GSM.;29;1992
239;341-365;Optimal recovery schemes in fault tolerant distributed computing.;41;2005
240;383-394;An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.;29;1992
241;305-336;Richer interface automata with optimistic and pessimistic compatibility.;52;2015
242;217-230;On the System of word equations x^i_1 x^i_2 ... x^i_m = y^i_1 y^i_2 ...y^i_n (i=1, 2, ...) in a Free Monoid.;34;1997
243;323-339;Two-Level Meta-Controlled Substitution Grammars.;10;1978
244;417-426;The query complexity of estimating weighted averages.;48;2011
245;29-45;;21;1984
246;297-316;Grammars on Partial Graphs.;6;1976
247;211-243;Average-Case Complexity for the Execution of Recursive Definitions on Relational Databases.;35;1998
248;521-541;Efficient and secure attribute-based signature for monotone predicates.;54;2017
249;103-129;Frameworks for Abstract Interpretation.;30;1993
250;303-350;OBSCURE: A Specification Language for Abstract Data Types.;30;1993
251;347-355;Performance Bounds on the Splitting Algorithm for Binary Testing.;3;1974
252;249-260;Rational Set of Trees and the Algebraic Semantics of Logic Programming.;20;1983
253;365-378;Rational Bijection of Rational Sets.;13;1980
254;649-680;Planning and execution with flexible timelines: a formal account.;53;2016
255;335-340; Some Comments on   Concurrent Readers and Writers  . ;8;1977
256;311-319;A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.;4;1975
257;459-468;Optimal covers in the relational database model.;53;2016
258;85-109;Integrating Code Generation and Peephole Optimization.;25;1988
259;371-389;Is Text Compression by Prefixes and Suffixes Practical?;20;1983
260;115-139;Methods for the Automatic Construction of Error Correcting Parsers.;13;1980
261;229-256;Ordered Attributed Grammars.;13;1980
262;425-446;Optimal Bounds on the Gain of Permitting Dynamic Allocation of Communication Channels in Distributed Computing.;36;1999
263;265-292;Linearly bounded infinite graphs.;43;2006
264;205-224;A Practical Example of the Specification of Abstract Data Types.;13;1980
265;180-188;Sur diverses familles de langages fermées par transductions rationelle;2;1973
266;193-200;On 3-Head Versus 2-Head Finite Automata.;4;1974
267;705-778;Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.;32;1995
268;107-125;An efficient simulation algorithm on Kripke structures.;51;2014
269;191-205;Improved matrix pair undecidability results.;44;2007
270;287-298;Automaten in planaren Graphen.;13;1980
271;241-267;Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers.;26;1988
272;83-97;Project scheduling with irregular costs: complexity, approximability, and algorithms.;41;2004
273;233-281;Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.;25;1988
274;223-242;Programmed grammars and their relation to the LBA problem.;43;2006
275;243-269;Semantic Decomposition of Computer Programs: An Aid to Program Testing.;4;1974
276;281-302;A Proof Technique for Communicating Sequential Processes.;15;1981
277;331-341;New proof for the undecidability of the circular PCP.;50;2013
278;765-780;A polynomial time computable metric between point sets.;37;2001
279;357-385;Verification of heap manipulating programs with ordered data by extended forest automata.;53;2016
280;579-588;The Family of One-Counter Languages is Closed Under Quotient.;22;1985
281;119-157;Sticky-free and overhang-free DNA languages.;40;2003
282;175-201;A Class of Linearly Parsable Graph Grammars.;10;1978
283;589-623;Precise parameter synthesis for stochastic biochemical systems.;54;2017
284;51-66;Efficient systematic clustering method for ;48;2011
285;137-152;Validation of a Computer Performance Model of the Exponential Queuing Network Family.;7;1976
286;149-170;Optimization in temporal qualitative constraint networks.;53;2016
287;459-489;Reducing non-determinism in right nulled GLR parsers.;40;2004
288;131-154;Deciding probabilistic bisimilarity over infinite-state probabilistic systems.;45;2008
289;313-341;Abstract reduction in directed model checking CCS processes.;49;2012
290;443-482;Compositional construction of most general controllers.;52;2015
291;269-307;A core calculus for dynamic delta-oriented programming.;55;2018
292;381-407;Through the Mincing Machine with a Boolean Layer Cake.;26;1989
293;221-233;The Implementation of Retention in a Coroutine Environment.;19;1983
294;911-919;Asymptotic Expansions of the Mergesort Recurrences.;35;1998
295;227-253;Logic for Improving Integrity Checking in Relational Data Bases.;18;1982
296;363-396;Correct hardware synthesis - An algebraic approach.;48;2011
297;75-96;EOL Forms.;8;1977
298;311-333;On Procedures as Open Subroutines. I;2;1973
299;279-284;The Method of Forced Enumeration for Nondeterministic Automata.;26;1988
300;521-540;Finite Complete Rewriting Systems and the Complexity of the Word Problem.;21;1984
301;669-701;Hierarchical information and the synthesis of distributed strategies.;55;2018
302;665-672;On the Expressiveness of Subset-Sum Representations.;36;2000
303;113-120;A Note on Multi-queue Scheduling of Two Tasks.;20;1983
304;719-728;Petri Net Algorithms in the Theory of Matrix Grammars.;31;1994
305;625-636;Decision Problems Concerning Thinness and Slenderness of Formal Languages.;35;1998
306;67-83;General Correctness: A Unification of Partial and Total Correctness.;22;1985
307;345-359;Stratified Balanced Search Trees.;18;1982
308;85-100;Purely Top-Down Updating Algorithms for Stratified Search Trees.;22;1985
309;111-153;Crypt-Equivalent Algebraic Specifications.;25;1988
310;349-364;On Some Decidable Properties of Finite State Translations.;17;1982
311;227-243;Size-Depth Tradeoff in Monotone Boolean Formulae.;12;1979
312;369-380;On Efficient Implementation of an Approximation Algorithm for the Steiner Tree Problem.;27;1990
313;307-314;Coincidental extension of scattered context languages.;39;2003
314;511-540;Parallel communicating grammar systems with terminal transmission.;37;2001
315;461-474;Time Optimal Left to Right Construction of Position Trees.;24;1987
316;743-763;Relaxed balance for search trees with local rebalancing.;37;2001
317;543-557;Analytic Models for the Primary Site Approach to Fault-Tolerance.;26;1989
318;469-492;Concurrent abstract state machines.;53;2016
319;315-340;Preemptive online algorithms for scheduling with machine cost.;41;2005
320;61-87;Logical and Schematic Characterization of Complexity Classes.;30;1993
321;35-55;Storage Utilization in B*-Trees with a Generalized Overflow Technique.;19;1983
322;289-321;View selection for ;44;2007
323;63-94;A Run-Time Load Balancing Strategy for Highly Parallel Systems.;29;1992
324;571-590;Optimal semi-online algorithms for preemptive scheduling problems with inexact partial information.;44;2007
325;489-510;Two Graph Algorithms Derived.;36;1999
326;89-90;Preface for the special issue GandALF 2015.;55;2018
327;457-504;A Logic-Based Approach to Program Flow Analysis.;35;1998
328;399-413;Monoïdes syntactiques des langages algébriques.;7;1977
329;39-52;An Algorithmic and Complexity Analysis of Interpolation Search.;13;1980
330;207-234;On constructibility and unconstructibility of LTS operators from other LTS operators.;52;2015
331;591-607;Strongly transitive automata and the Cerný conjecture.;46;2009
332;1-20;Possibility and Impossibility Results in a Shared Memory Environment.;33;1996
333;181-220;Type-based hot swapping of running modules.;41;2005
334;591-616;Specifying Communication in Distributed Information Systems.;36;2000
335;217-221;Nearly Optimal Hierarchies for Network and Formula Size.;23;1986
336;129-152;Parameterized linear temporal logics meet costs: still not costlier than LTL.;55;2018
337;45-71;Compositional Analysis of C/C++ Programs with VeriSoft.;43;2006
338;653-670;On the tree inclusion problem.;37;2001
339;327-337;Controlled finite automata.;51;2014
340;421-456;Algebraic Models of Microprocessors: Architecture and Organisation.;33;1996
341;195-216;Program Analysis and Optimization through Kernel-Control Decomposition.;9;1978
342;1-29;A top-down proof procedure for generalized data dependencies.;39;2003
343;209-217;Flow Languages Equal Recursively Enumerable Languages.;15;1981
344;177-202;Simple Extensions of 1-writer Atomic Variable Constructions to Multiwriter Ones.;33;1996
345;207-225;Lower Bounds for On-Line Two-Dimensional Packing Algorithms.;18;1982
346;247-286;A Maximum Entropy Priority Approximation for a Stable ;27;1990
347;523-546;A Kernel Language for Programmed Rewriting of (Hyper)graphs.;33;1996
348;191-225;Subtyping for session types in the pi calculus.;42;2005
349;417-441;A Fair Calculus of Communicating Systems.;21;1984
350;721-734;Generalized normal form for rewriting P systems.;38;2002
351;525-569;Synchronous cooperation for explicit multi-threading.;44;2007
352;611-629;A Fixed Point Approach to Parallel Discrete Event Simulation.;28;1991
353;1007-1029;Type Introduction for Equational Rewriting.;36;2000
354;1-28;On decidability of LTL model checking for process rewrite systems.;46;2009
355;453-480;Maintaining Range Trees in Secondary Memory. Part II: Lower Bounds.;27;1990
356;245-284;The Multiple Phase Service Network with Generalized Processor Sharing.;12;1979
357;57-84;Complexity of Analyzing the Synchronization Structure of Concurrent Programs.;19;1983
358;3-17;Binary Search Trees in Secondary Memory.;15;1981
359;137-160;Geometrical Tools to Map Systems of Affine Recurrence Equations on Regular Arrays.;31;1994
360;243-261;Orthogonality of Information Structures.;9;1978
361;789-818;Stateless model checking for TSO and PSO.;54;2017
362;155-170;Efficient Algorithms for Checking the Atomicity of a Run of Read and Write Operations.;32;1995
363;235-259;Minimally adequate teacher synthesizes statechart diagrams.;38;2002
364;491-511;Order and Metric in the Stream Semantics of Elemental Concurrency.;24;1987
365;167-189;Relational Database Constraints as Counterexamples.;34;1997
366;35-45;Thrifty Execution of Task Pipelines.;22;1985
367;645-662;Expressibility of Output Equals Input.;29;1992
368;121-163;Properties of Data Flow Frameworks.;28;1990
369;323-344;Dual unbounded nondeterminacy, recursion, and fixpoints.;44;2007
370;559-571;Information Theoretic Approximations for the ;31;1994
371;79-110;Top-Down Syntax Analysis.;1;1971
372;381-397;Hiding in Stream Semantics of Uniform Concurrency.;27;1990
373;1-28;Data Management Support for Database Management.;21;1984
374;709-727;d-Words and d-Languages.;35;1998
375;289-298;An Alternative Implementation of an Insertion-Only Recovery Technique.;18;1982
376;657-674;Approximation schemes for the Min-Max Starting Time Problem.;40;2004
377;559-574;On the Expansion of Non-Linear Functions.;28;1991
378;1-15;Structured Numbers: Properties of a Hierarchy of Operations on Binary Trees.;35;1998
379;373-386;EOL Systems with Control Devices.;4;1974
380;93-104;Analysis of Space Allocation in a Generally Fragmented Linear Store.;24;1987
381;151-166;Computational Fractal Geometry with WFA.;34;1997
382;125-138;Parsing Regular Grammars with Finite Lookahead.;16;1981
383;301-324;Metric temporal logic revisited.;53;2016
384;233-256;Comparing Expressibility of Normed BPA and Normed BPP Processes.;36;1999
385;109-120;A Simple, Fast, and Effective LL(1) Error Repair Algorithm.;29;1992
386;83-141;Genericity and the pi-calculus.;42;2005
387;413-436;Multi-tilde-bar expressions and their automata.;49;2012
388;63;Erratum: The size of random bucket trees via urn models.;41;2004
389;1-2;Special issue: Selected papers from the 26th International Conference on Concurrency Theory (CONCUR 2015).;54;2017
390;193-220;Synthesizing robust systems.;51;2014
391;637-655;On best transitive approximations to simple graphs.;40;2004
392;1-23;Page Size in Demand-Paging Systems.;3;1973
393;1-33;On Hierarchies of Abstract Data Types.;20;1983
394;573-600;Update Operations in Deductive Databases with Functional Dependencies.;31;1994
395;537-571;Apex Graph Grammars and Attribute Grammars.;25;1988
396;475-498;Optimum Decision Trees - An Optimal Variable Theorem and its Related Applications.;22;1985
397;171-186;An Algorithm for Merging Heaps.;22;1985
398;253-275;Short Proofs for Tricky Formulas.;22;1985
399;541-557;Some Average Performance Measures for the B-Tree.;21;1985
400;21-37;The 'Hoare Logic' of Concurrent Programs.;14;1980
401;365-397;Robust Data Types.;17;1982
402;1-18;Random sprouts as internet models, and Pólya processes.;41;2004
403;1-21;Concurrency of Operations on B-Trees.;9;1977
404;547-557;Chromatic Binary Search Trees. A Structure for Concurrent Rebalancing.;33;1996
405;267-288;Constructing Maximal Slicings from Geometry.;23;1986
406;57-72;A complexity tradeoff in ranking-function termination proofs.;46;2009
407;317-347;Timed automata with urgent transitions.;40;2004
408;193-213;Formes de langages et de grammaires.;17;1982
409;475-489;Optimal Worst Case Trees.;24;1987
410;1-14;An efficient algorithm for finding ideal schedules.;49;2012
411;625-661;Specification and Verification of Database Dynamics.;25;1988
412;43-61;Information Theoretic Approximations for ;17;1982
413;385-395;A Lower Time Bound for the Knapsack Problem on Random Access Machines.;19;1983
414;583-602;Splitting forward simulations to copewith liveness.;42;2006
